Encuesta | Encuesta | Encuesta,Fecha | Fecha | Fecha,Unnamed: 2_level_0 | Jara UpCh | Unnamed: 2_level_2,Unnamed: 3_level_0 | Kast PRCh | Unnamed: 3_level_2,NS/NR | NS/NR | NS/NR,_heading,Encuesta | Encuesta,Fecha | Fecha,Jara UpCh | Unnamed: 2_level_1,ME-O Ind. | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR,Parisi PDG | Unnamed: 3_level_1,Matthei ChV | Unnamed: 3_level_1,Kaiser PNL | Unnamed: 3_level_1,Mayne-Nicholls Ind. | Unnamed: 3_level_1,Kaiser PNL | Unnamed: 2_level_1,Matthei ChV | Unnamed: 2_level_1,Kast PRCh | Unnamed: 3_level_1,ME-O Ind. | Unnamed: 2_level_1,Parisi PDG | Unnamed: 2_level_1
,,,,,Segunda vuelta,,,,,,,,,,,,,,,
Segunda vuelta,14 Dic 2025,"41,84%","58,16%",—,Segunda vuelta,,,,,,,,,,,,,,,
Activa[1],10–13 Dic 2025,"41,9%","58,1%",—,Segunda vuelta,,,,,,,,,,,,,,,
Panel Ciudadano[2],11–12 Dic 2025,41%,59%,—,Segunda vuelta,,,,,,,,,,,,,,,
Cadem[3],10–11 Dic 2025,34%,47%,20%,Segunda vuelta,,,,,,,,,,,,,,,
Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025),Segunda vuelta,,,,,,,,,,,,,,,
Panel Ciudadano[4],4–5 Dic 2025,36%,50%,14%,Segunda vuelta,,,,,,,,,,,,,,,
Cadem[3],4–5 Dic 2025,36%,47%,17%,Segunda vuelta,,,,,,,,,,,,,,,
LCN[5],25 Nov–5 Dic 2025,"40,3%","59,7%",—,Segunda vuelta,,,,,,,,,,,,,,,
Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025),Segunda vuelta,,,,,,,,,,,,,,,
Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Segunda vuelta,,,,,,,,,,,,,,,
Panel Ciudadano[6],27–28 Nov 2025,34%,50%,16%,Segunda vuelta,,,,,,,,,,,,,,,
Activa[7],26–28 Nov 2025,"31,6%","45,2%","23,2%",Segunda vuelta,,,,,,,,,,,,,,,
Cadem[8],26–28 Nov 2025,34%,46%,20%,Segunda vuelta,,,,,,,,,,,,,,,
Data Influye[9],22–27 Nov 2025,34%,49%,17%,Segunda vuelta,,,,,,,,,,,,,,,
