Encuesta | Encuesta | Encuesta,Fecha | Fecha | Fecha,Unnamed: 2_level_0 | Jara UpCh | Unnamed: 2_level_2,Unnamed: 3_level_0 | Kast PRCh | Unnamed: 3_level_2,NS/NR | NS/NR | NS/NR
,,,,
Segunda vuelta,14 Dic 2025,"41,84%","58,16%",—
Activa[1],10–13 Dic 2025,"41,9%","58,1%",—
Panel Ciudadano[2],11–12 Dic 2025,41%,59%,—
Cadem[3],10–11 Dic 2025,34%,47%,20%
Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025),Debate ANATEL (9 de diciembre de 2025)
Panel Ciudadano[4],4–5 Dic 2025,36%,50%,14%
Cadem[3],4–5 Dic 2025,36%,47%,17%
LCN[5],25 Nov–5 Dic 2025,"40,3%","59,7%",—
Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025),Debate radial ARCHI (3 de diciembre de 2025)
Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025),Inicio de la prohibición legal de difusión de encuestas (30 de noviembre de 2025)
Panel Ciudadano[6],27–28 Nov 2025,34%,50%,16%
Activa[7],26–28 Nov 2025,"31,6%","45,2%","23,2%"
Cadem[8],26–28 Nov 2025,34%,46%,20%
Data Influye[9],22–27 Nov 2025,34%,49%,17%
Atlas Intel[10],22–27 Nov 2025,"35,0%","56,9%","8,1%"
Black & White[11],25–26 Nov 2025,37%,53%,9%
Criteria[12],24–26 Nov 2025,35%,51%,14%
CB Consultora[13],18–23 Nov 2025,"36,7%","50,9%","12,4%"
Panel Ciudadano[14],19–21 Nov 2025,35%,50%,15%
Cadem[15],19–21 Nov 2025,34%,46%,20%
Criteria[16],19–20 Nov 2025,36%,50%,14%
Black & White[17],18–20 Nov 2025,35%,56%,9%
Panel Ciudadano[18],16–17 Nov 2025,34%,54%,12%
Primera vuelta presidencial (16 de noviembre de 2025),Primera vuelta presidencial (16 de noviembre de 2025),Primera vuelta presidencial (16 de noviembre de 2025),Primera vuelta presidencial (16 de noviembre de 2025),Primera vuelta presidencial (16 de noviembre de 2025)
Cadem[15],13–14 Nov 2025,35%,46%,19%
Criteria[16],11–13 Nov 2025,33%,47%,20%
Cadem[15],10–12 Nov 2025,34%,44%,22%
Panel Ciudadano[18],6–7 Nov 2025,33%,47%,20%
Cadem[15],5–7 Nov 2025,36%,47%,17%
Activa[7],4–6 Nov 2025,"35,1%","40,9%","24,1%"
Criteria[16],4–6 Nov 2025,33%,49%,18%
Panel Ciudadano[19],30–31 Oct 2025,32%,46%,22%
Cadem[15],28–30 Oct 2025,34%,47%,19%
Atlas Intel[20],25–30 Oct 2025,40%,46%,14%
Criteria[21],27–29 Oct 2025,33%,51%,16%
LCN[22],19–28 Oct 2025,44%,56%,—
Cadem[23],22–24 Oct 2025,36%,48%,16%
Panel Ciudadano[24],22–24 Oct 2025,32%,48%,20%
Criteria[25],21–23 Oct 2025,35%,46%,19%
Feedback[26],18–22 Oct 2025,34%,56%,10%
Atlas Intel[27],15–19 Oct 2025,39%,47%,14%
Panel Ciudadano[28],16–17 Oct 2025,33%,46%,21%
Activa[29],15–17 Oct 2025,"34,0%","42,0%","7,8%"
Cadem[30],15–17 Oct 2025,33%,49%,18%
Criteria[31],14–17 Oct 2025,36%,48%,—
CEP[32],22 Sep–17 Oct 2025,33%,41%,16%
LCN[33],3–13 Oct 2025,44%,56%,—
Panel Ciudadano[34],9–10 Oct 2025,31%,46%,23%
Cadem[35],8–10 Oct 2025,36%,47%,17%
Criteria[36],7–9 Oct 2025,33%,46%,—
Signos Analytics[37],25 Sep–4 Oct 2025,"35,9%","44,0%","12,9%"
Panel Ciudadano[38],2–3 Oct 2025,32%,49%,19%
Criteria[39],30 Sep–2 Oct 2025,36%,47%,—
Panel Ciudadano[40],25–26 Sep 2025,31%,47%,22%
LCN[41],17–26 Sep 2025,"46,0%","54,0%",—
Criteria[42],23–25 Sep 2025,35%,44%,—
Panel Ciudadano[43],18–19 Sep 2025,31%,47%,22%
Criteria[44],15–17 Sep 2025,35%,46%,—
Panel Ciudadano[45],11–12 Sep 2025,33%,46%,21%
Cadem,10–12 Sep 2025,32%,43%,25%
LCN[46],2–12 Sep 2025,"43,7%","55,8%",—
Criteria[47],11 Sep 2025,35%,46%,—
Panel Ciudadano[48],4–5 Sep 2025,30%,48%,22%
Cadem[49],3–5 Sep 2025,32%,42%,26%
Criteria[50],2–4 Sep 2025,36%,45%,—
Panel Ciudadano[51],28–29 Ago 2025,31%,46%,23%
Activa[52],26–29 Ago 2025,"32,9%","37,4%","9,8%"
LCN[53],16–28 Ago 2025,"43,7%","56,4%",—
Criteria[54],26–28 Ago 2025,33%,47%,—
Panel Ciudadano[55],21–22 Ago 2025,31%,50%,19%
Cadem[56],20–22 Ago 2025,31%,44%,25%
Criteria[57],19–21 Ago 2025,32%,50%,—
Activa[58],14–15 Ago 2025,"31,9%","40,8%","23,6%"
Panel Ciudadano[59],14–15 Ago 2025,32%,48%,20%
Criteria[60],12–14 Ago 2025,35%,47%,18%
LCN[61],1–10 Ago 2025,"46,5%","53,5%",—
Panel Ciudadano[62],7–8 Ago 2025,32%,50%,18%
Cadem[63],6–8 Ago 2025,34%,48%,18%
Data Influye[64],30 Jul–3 Ago 2025,34%,41%,24%
Cadem[65],30 Jul–1 Ago 2025,37%,49%,14%
Activa[66],30 Jul–1 Ago 2025,"33,5%","41,1%","20,5%"
Panel Ciudadano[67],30–31 Jul 2025,33%,49%,18%
Criteria[68],29–31 Jul 2025,34%,45%,21%
LCN[69],12–21 Jul 2025,"45,8%","54,2%",—
Criteria[70],15–17 Jul 2025,34%,47%,19%
Cadem[71],9–11 Jul 2025,36%,47%,17%
Data Influye[72],1–6 Jul 2025,"43,7%","43,9%","12,4%"
Criteria[73],1–3 Jul 2025,35%,42%,23%
Panel Ciudadano[74],29–30 Jun 2025,34%,46%,20%
Cadem[75],25–27 Jun 2025,30%,50%,9%
