Encuesta | Encuesta,Fecha | Fecha,Jara UpCh | Unnamed: 2_level_1,Parisi PDG | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR
Atlas Intel[20],25–30 Oct 2025,38%,45%,17%,17%
Criteria[21],27–29 Oct 2025,34%,32%,34%,34%
Cadem[23],22–24 Oct 2025,34%,37%,29%,29%
Criteria[25],21–23 Oct 2025,33%,31%,36%,36%
Atlas Intel[27],15–19 Oct 2025,37%,40%,22%,22%
Cadem[30],15–17 Oct 2025,33%,40%,27%,27%
Criteria[31],14–17 Oct 2025,34%,31%,35%,—
Cadem[35],8–10 Oct 2025,36%,40%,24%,24%
Criteria[36],7–9 Oct 2025,33%,29%,38%,—
Criteria[39],30 Sep–2 Oct 2025,35%,31%,25%,—
Criteria[42],23–25 Sep 2025,35%,29%,36%,—
Criteria[44],15–17 Sep 2025,35%,30%,35%,—
Cadem,10–12 Sep 2025,32%,32%,36%,36%
Criteria[47],11 Sep 2025,34%,31%,35%,—
Cadem[49],3–5 Sep 2025,33%,29%,38%,38%
Criteria[54],26–28 Ago 2025,34%,31%,35%,—
Cadem[56],20–22 Ago 2025,33%,33%,34%,34%
Criteria[57],19–21 Ago 2025,34%,31%,35%,—
Cadem[63],6–8 Ago 2025,36%,39%,25%,25%
Cadem[65],30 Jul–1 Ago 2025,38%,38%,24%,24%
Cadem[75],25–27 Jun 2025,32%,44%,24%,24%
