Encuesta | Encuesta,Fecha | Fecha,Jara UpCh | Unnamed: 2_level_1,Kaiser PNL | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR
Atlas Intel[20],25–30 Oct 2025,41%,46%,13%,13%
Criteria[21],27–29 Oct 2025,34%,41%,25%,25%
LCN[22],19–28 Oct 2025,45%,55%,—,—
Cadem[23],22–24 Oct 2025,36%,41%,23%,23%
Criteria[25],21–23 Oct 2025,36%,37%,27%,27%
Atlas Intel[27],15–19 Oct 2025,41%,45%,15%,15%
Cadem[30],15–17 Oct 2025,35%,40%,25%,25%
Criteria[31],14–17 Oct 2025,36%,36%,28%,—
LCN[33],3–13 Oct 2025,"45,5%","54,5%",—,—
Cadem[35],8–10 Oct 2025,39%,39%,22%,22%
Criteria[36],7–9 Oct 2025,35%,32%,33%,—
Criteria[39],30 Sep–2 Oct 2025,37%,35%,28%,—
LCN[41],17–26 Sep 2025,"47,0%","53,0%",—,—
Criteria[42],23–25 Sep 2025,38%,34%,28%,—
Criteria[44],15–17 Sep 2025,36%,32%,32%,—
Cadem,10–12 Sep 2025,33%,32%,35%,35%
LCN[46],2–12 Sep 2025,"47,5%","52,5%",—,—
Criteria[47],11 Sep 2025,36%,34%,30%,—
Cadem[49],3–5 Sep 2025,33%,31%,36%,36%
LCN[53],16–28 Ago 2025,"46,2%","53,8%",—,—
Cadem[56],20–22 Ago 2025,36%,30%,34%,34%
LCN[61],1–10 Ago 2025,49%,51%,—,—
Cadem[63],6–8 Ago 2025,41%,35%,24%,24%
Cadem[65],30 Jul–1 Ago 2025,39%,32%,29%,29%
LCN[69],12–21 Jul 2025,"49,3%","50,2%",—,—
Cadem[75],25–27 Jun 2025,37%,31%,16%,16%
Cadem[77],7–9 May 2025,30%,37%,1%,32%
LCN[153],14–23 Abr 2025,"47,5%","52,5%",—,—
LCN[163],10–22 Mar 2025,44%,56%,—,—
