Encuesta | Encuesta,Fecha | Fecha,Matthei ChV | Unnamed: 2_level_1,Kast PRCh | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR
Cadem[23],22–24 Oct 2025,32%,37%,31%,31%
Feedback[26],18–22 Oct 2025,31%,41%,28%,28%
Activa[29],15–17 Oct 2025,"30,5%","33,8%","27,0%","8,7%"
CEP[32],22 Sep–17 Oct 2025,29%,33%,14%,24%
Cadem[35],8–10 Oct 2025,30%,38%,32%,32%
Cadem,10–12 Sep 2025,30%,33%,37%,37%
Cadem[49],3–5 Sep 2025,30%,36%,34%,34%
Activa[52],26–29 Ago 2025,"28,4%","29,9%","31,8%","9,9%"
Cadem[56],20–22 Ago 2025,28%,36%,36%,36%
Activa[58],14–15 Ago 2025,"27,1%","33,7%","8,1%","31,1%"
Activa[66],30 Jul–1 Ago 2025,"25,7%","31,1%","8,0%","35,2%"
Cadem[71],9–11 Jul 2025,31%,37%,32%,32%
Data Influye[72],1–6 Jul 2025,24%,28%,48%,48%
Panel Ciudadano[74],29–30 Jun 2025,32%,35%,33%,33%
Cadem[75],25–27 Jun 2025,34%,37%,14%,15%
Panel Ciudadano[141],20 May 2025,32%,30%,9%,29%
Cadem[77],7–9 May 2025,44%,30%,1%,25%
Cadem[165],26–28 Mar 2025,44%,34%,2%,20%
Cadem[175],5–7 Mar 2025,41%,31%,3%,25%
Cadem[183],5–7 Feb 2025,43%,29%,2%,26%
Cadem[191],8–10 Ene 2025,52%,28%,2%,18%
Cadem[194],11–13 Dic 2024,57%,21%,2%,20%
Activa[197],28–29 Nov 2024,"39,9%","29,0%",—,"31,1%"
Cadem[198],27–29 Nov 2024,54%,27%,1%,18%
Panel Ciudadano[199],25–26 Nov 2024,40%,24%,29%,7%
Panel Ciudadano[204],28–29 Oct 2024,40%,24%,31%,5%
Panel Ciudadano[209],16–17 Sep 2024,44%,19%,29%,7%
Cadem[210],11–13 Sep 2024,61%,21%,2%,16%
Cadem[213],7–9 Ago 2024,61%,22%,3%,14%
Cadem[220],12–14 Jun 2024,52%,29%,2%,17%
Panel Ciudadano[221],12–13 Jun 2024,41%,23%,27%,9%
Cadem[231],3–5 Abr 2024,56%,25%,1%,18%
Panel Ciudadano[237],23–24 Feb 2024,48%,23%,26%,4%
