marco_final,emocion_final,n,polarizacion_media,proporcion
conflicto,desprecio,945,0.4630026455026455,0.09222211378940177
diagnostico,indignacion,844,0.4296060426540284,0.08236557041085196
conflicto,indignacion,758,0.44780672823219,0.07397287010832439
conflicto,ironia,724,0.3858632596685083,0.07065482580267396
moral,desprecio,702,0.5406431623931623,0.06850785595784131
moral,indignacion,627,0.5027751196172249,0.06118864057773007
diagnostico,desprecio,591,0.43828680203045683,0.05767541719527667
otro,desprecio,528,0.5438854166666667,0.05152727627598321
diagnostico,ninguna,463,0.2605021598272138,0.0451839562798868
otro,ninguna,435,0.29577011494252875,0.04245144920464526
conflicto,ninguna,429,0.36300699300699296,0.041865911974236364
otro,ironia,363,0.3570936639118457,0.03542500243973846
identitario,desprecio,261,0.43191570881226055,0.025470869522787157
diagnostico,miedo,217,0.3522695852534562,0.021176929833121888
moral,ironia,215,0.46561627906976744,0.02098175075631892
pronostico,ninguna,197,0.27690355329949234,0.019225139065092222
identitario,ironia,168,0.3977529761904762,0.016395042451449203
diagnostico,ironia,148,0.36812500000000004,0.014443251683419537
conflicto,miedo,143,0.4049300699300699,0.013955303991412121
pronostico,ironia,108,0.3993518518518519,0.010539670147360203
identitario,ninguna,107,0.2683644859813084,0.01044208060895872
pronostico,miedo,102,0.34095588235294116,0.009954132916951302
economico,ninguna,98,0.25316326530612243,0.00956377476334537
moral,ninguna,96,0.37789062500000004,0.009368595686542403
conflicto,ira,69,0.7295652173913043,0.006733678149702352
pronostico,esperanza,67,0.31089552238805973,0.006538499072899385
identitario,indignacion,57,0.40820175438596495,0.005562603688884552
motivacional,ninguna,55,0.3360454545454546,0.005367424612081585
motivacional,indignacion,52,0.43192307692307697,0.005074655996877135
diagnostico,esperanza,51,0.2256862745098039,0.004977066458475651
motivacional,esperanza,49,0.29683673469387756,0.004781887381672685
economico,indignacion,49,0.4281122448979592,0.004781887381672685
economico,ironia,43,0.3870348837209302,0.004196350151263784
pronostico,desprecio,41,0.47158536585365857,0.004001171074460818
otro,indignacion,40,0.517875,0.0039035815360593342
moral,ira,33,0.7943939393939394,0.0032204547672489508
otro,miedo,31,0.40403225806451615,0.0030252756904459843
moral,miedo,29,0.46198275862068966,0.0028300966136430173
economico,desprecio,28,0.4340178571428571,0.0027325070752415343
motivacional,alegria,27,0.33314814814814814,0.002634917536840051
diagnostico,ira,24,0.7894791666666666,0.002342148921635601
motivacional,desprecio,21,0.4438095238095238,0.0020493803064311504
moral,esperanza,20,0.3125,0.0019517907680296671
economico,miedo,18,0.37486111111111114,0.0017566116912267006
economico,esperanza,17,0.25,0.0016590221528252171
otro,ira,16,0.81234375,0.0015614326144237339
motivacional,ironia,14,0.4321428571428571,0.0013662535376207671
identitario,alegria,13,0.3396153846153846,0.0012686639992192837
otro,alegria,13,0.24576923076923077,0.0012686639992192837
identitario,miedo,13,0.4419230769230769,0.0012686639992192837
conflicto,alegria,12,0.36916666666666664,0.0011710744608178004
otro,esperanza,11,0.35454545454545455,0.001073484922416317
motivacional,miedo,11,0.26,0.001073484922416317
diagnostico,alegria,10,0.257,0.0009758953840148336
identitario,esperanza,9,0.23333333333333334,0.0008783058456133503
moral,alegria,8,0.3,0.0007807163072118669
conflicto,esperanza,8,0.4009375,0.0007807163072118669
motivacional,ira,5,0.6439999999999999,0.0004879476920074168
identitario,ira,4,0.8200000000000001,0.00039035815360593347
pronostico,indignacion,4,0.605,0.00039035815360593347
pronostico,alegria,3,0.5666666666666667,0.0002927686152044501
economico,alegria,2,0.3,0.00019517907680296673
economico,ira,1,0.91,9.758953840148337e-05
