Par,Origen (posicionamiento),Tono en 2.ª vuelta (hacia Kast o Jara),Probabilidad condicional (%)
Jara → Kast,Jara: NEGATIVO,Kast: NEGATIVO,92.5
Jara → Kast,Jara: NEGATIVO,Kast: NEUTRO,4.5
Jara → Kast,Jara: NEGATIVO,Kast: POSITIVO,3.0
Jara → Kast,Jara: NEUTRO,Kast: NEGATIVO,86.0
Jara → Kast,Jara: NEUTRO,Kast: NEUTRO,11.6
Jara → Kast,Jara: NEUTRO,Kast: POSITIVO,2.3
Jara → Kast,Jara: POSITIVO,Kast: NEGATIVO,100.0
Kaiser → Jara,Kaiser: NEGATIVO,Jara: NEGATIVO,60.0
Kaiser → Jara,Kaiser: NEGATIVO,Jara: NEUTRO,30.0
Kaiser → Jara,Kaiser: NEGATIVO,Jara: POSITIVO,10.0
Kaiser → Jara,Kaiser: NEUTRO,Jara: NEGATIVO,83.3
Kaiser → Jara,Kaiser: NEUTRO,Jara: NEUTRO,16.7
Kaiser → Jara,Kaiser: POSITIVO,Jara: NEGATIVO,66.7
Kaiser → Jara,Kaiser: POSITIVO,Jara: NEUTRO,33.3
Kaiser → Kast,Kaiser: NEGATIVO,Kast: NEGATIVO,90.0
Kaiser → Kast,Kaiser: NEGATIVO,Kast: NEUTRO,10.0
Kaiser → Kast,Kaiser: NEUTRO,Kast: NEGATIVO,100.0
Kaiser → Kast,Kaiser: POSITIVO,Kast: NEGATIVO,75.0
Kaiser → Kast,Kaiser: POSITIVO,Kast: NEUTRO,25.0
Kast → Jara,Kast: NEGATIVO,Jara: NEGATIVO,63.3
Kast → Jara,Kast: NEGATIVO,Jara: NEUTRO,31.1
Kast → Jara,Kast: NEGATIVO,Jara: POSITIVO,5.6
Kast → Jara,Kast: NEUTRO,Jara: NEGATIVO,63.6
Kast → Jara,Kast: NEUTRO,Jara: NEUTRO,36.4
Kast → Jara,Kast: POSITIVO,Jara: NEGATIVO,100.0
Matthei → Jara,Matthei: NEGATIVO,Jara: NEGATIVO,60.0
Matthei → Jara,Matthei: NEGATIVO,Jara: NEUTRO,40.0
Matthei → Jara,Matthei: NEUTRO,Jara: NEGATIVO,60.0
Matthei → Jara,Matthei: NEUTRO,Jara: NEUTRO,30.0
Matthei → Jara,Matthei: NEUTRO,Jara: POSITIVO,10.0
Matthei → Jara,Matthei: POSITIVO,Jara: NEGATIVO,100.0
Matthei → Kast,Matthei: NEGATIVO,Kast: NEGATIVO,100.0
Matthei → Kast,Matthei: NEUTRO,Kast: NEGATIVO,85.7
Matthei → Kast,Matthei: NEUTRO,Kast: NEUTRO,14.3
Matthei → Kast,Matthei: POSITIVO,Kast: NEGATIVO,100.0
