modelo,accuracy,f1_macro,clase,precision,recall,f1_clase,support
LogReg,0.5886075949367089,0.5267461788027994,,,,,
LogReg,,,atribucion_oculta,0.3103448275862069,0.3711340206185567,0.3380281690140845,97.0
LogReg,,,construccion_amenaza,0.46048109965635736,0.600896860986547,0.5214007782101168,223.0
LogReg,,,deslegitimacion,0.6893382352941176,0.5411255411255411,0.6063055780113177,693.0
LogReg,,,esencializacion,0.4381443298969072,0.5704697986577181,0.4956268221574344,149.0
LogReg,,,ridiculizacion,0.6627318718381113,0.6822916666666666,0.6723695466210436,576.0
LogReg,,,macro avg,0.5122080728543401,0.5531835776110059,0.5267461788027994,1738.0
LogReg,,,weighted avg,0.6084690413644674,0.5886075949367089,0.5928447220093465,1738.0
RandomForest,0.6668584579976985,0.573095956721399,,,,,
RandomForest,,,atribucion_oculta,1.0,0.2268041237113402,0.3697478991596639,97.0
RandomForest,,,construccion_amenaza,0.9651162790697675,0.3721973094170404,0.5372168284789643,223.0
RandomForest,,,deslegitimacion,0.6440677966101694,0.7676767676767676,0.7004608294930875,693.0
RandomForest,,,esencializacion,0.9666666666666667,0.38926174496644295,0.5550239234449761,149.0
RandomForest,,,ridiculizacion,0.6236559139784946,0.8055555555555556,0.703030303030303,576.0
RandomForest,,,macro avg,0.8399013312650198,0.5122991002654294,0.573095956721399,1738.0
RandomForest,,,weighted avg,0.7260178671279355,0.6668584579976985,0.6494408935251795,1738.0
GBM,0.5937859608745685,0.4524558730291018,,,,,
GBM,,,atribucion_oculta,0.56,0.14432989690721648,0.22950819672131148,97.0
GBM,,,construccion_amenaza,0.6103896103896104,0.21076233183856502,0.31333333333333335,223.0
GBM,,,deslegitimacion,0.5759637188208617,0.733044733044733,0.645079365079365,693.0
GBM,,,esencializacion,0.7288135593220338,0.28859060402684567,0.41346153846153844,149.0
GBM,,,ridiculizacion,0.60431654676259,0.7291666666666666,0.6608969315499607,576.0
GBM,,,macro avg,0.6158966870590191,0.42117884649680537,0.4524558730291018,1738.0
GBM,,,weighted avg,0.6019903863831848,0.5937859608745685,0.5647054259026738,1738.0
