document,chars,sents,tokens,types,puncts,numbers,symbols,urls,tags,emojis
text1,NA,NA,10,10,0,0,0,0,0,0
text2,NA,NA,44,40,0,0,0,0,0,0
text3,NA,NA,7,7,0,0,0,0,0,0
text4,NA,NA,4,4,0,0,0,0,0,0
text5,NA,NA,6,6,0,0,0,0,0,0
text6,NA,NA,49,42,0,0,0,0,0,0
text7,NA,NA,5,5,0,0,0,0,0,0
text8,NA,NA,3,3,0,0,0,0,0,0
text9,NA,NA,50,42,0,0,0,0,0,0
text10,NA,NA,178,100,0,0,0,0,0,0
text11,NA,NA,57,51,0,0,0,0,0,0
text12,NA,NA,21,19,0,0,0,0,0,0
text13,NA,NA,14,14,0,0,0,0,0,0
text14,NA,NA,16,12,0,0,0,0,0,0
text15,NA,NA,12,10,0,0,0,0,0,0
text16,NA,NA,10,9,0,0,0,0,0,0
text17,NA,NA,56,43,0,0,0,0,0,0
text18,NA,NA,23,21,0,0,0,0,0,0
text19,NA,NA,5,5,0,0,0,0,0,0
text20,NA,NA,4,4,0,0,0,0,0,0
text21,NA,NA,35,32,0,0,0,0,0,0
text22,NA,NA,4,4,0,0,0,0,0,0
text23,NA,NA,5,5,0,0,0,0,0,0
text24,NA,NA,37,28,0,0,0,0,0,0
text25,NA,NA,56,39,0,0,0,0,0,0
text26,NA,NA,88,74,0,0,0,0,0,0
text27,NA,NA,11,11,0,0,0,0,0,0
text28,NA,NA,6,6,0,0,0,0,0,0
text29,NA,NA,11,11,0,0,0,0,0,0
text30,NA,NA,4,4,0,0,0,0,0,0
text31,NA,NA,7,7,0,0,0,0,0,0
text32,NA,NA,16,15,0,0,0,0,0,0
text33,NA,NA,23,22,0,0,0,0,0,0
text34,NA,NA,12,10,0,0,0,0,0,0
text35,NA,NA,154,110,0,0,0,0,0,0
text36,NA,NA,6,6,0,0,0,0,0,0
text37,NA,NA,93,75,0,0,0,0,0,0
text38,NA,NA,7,7,0,0,0,0,0,0
text39,NA,NA,44,36,0,0,0,0,0,0
