word,n
por,1353
los,1229
con,1073
kast,982
del,981
para,933
las,839
una,810
como,727
pero,675
chile,670
jara,607
más,592
este,427
qué,392
ser,389
son,381
porque,369
gobierno,364
todo,359
hay,357
sobre,352
sus,352
esta,344
gente,339
eso,333
solo,330
cuando,314
esto,314
está,307
sin,305
años,300
tiene,294
fue,289
todos,289
así,285
país,281
hace,253
derecha,252
ahora,245
contra,242
desde,242
hacer,237
les,234
algo,230
mismo,226
donde,225
boric,223
izquierda,222
entre,216
bien,215
nada,215
estado,213
presidente,213
puede,208
kaiser,206
muy,205
sea,202
también,201
personas,200
cómo,199
hasta,194
menos,191
hoy,187
nos,187
tras,187
ese,186
ver,186
otro,183
vez,182
creo,181
política,181
cada,180
esa,180
tienen,180
era,179
mas,179
tan,179
www,178
vuelta,177
matthei,176
nacional,176
están,173
uno,173
candidato,170
han,170
alguien,169
estos,169
mucho,169
siempre,165
creen,163
tanto,163
dice,162
caso,161
parte,161
mejor,159
cosas,157
elecciones,157
tener,156
antonio,151
tengo,151
antes,149
quien,148
josé,147
parisi,147
debate,145
verdad,145
campaña,144
decir,143
otros,143
segunda,142
candidatos,141
igual,141
nunca,141
partido,141
día,139
poco,139
tercera,139
van,137
votar,135
social,133
forma,131
millones,131
sociales,131
estaba,129
nuevo,128
tiempo,127
año,126
poder,126
dos,125
jeannette,125
realmente,125
nadie,124
parece,124
ustedes,124
vida,124
incluso,123
ellos,122
durante,121
presidencial,121
soy,121
tema,120
cuenta,119
voto,119
mientras,118
primera,118
según,118
seguridad,116
pasa,115
tipo,115
estas,114
político,114
trabajo,114
casi,113
chilenos,112
estoy,112
mal,112
chileno,109
sido,109
además,108
después,108
hecho,108
otra,108
muchos,105
mundo,105
persona,105
toda,105
nivel,104
gran,103
cosa,102
siendo,102
ante,101
momento,101
cualquier,100
estar,100
hizo,100
wea,100
fuera,99
idea,99
luego,99
mayor,99
reddit,98
veces,98
mayoría,97
post,97
pregunta,97
aunque,95
dicen,95
redes,95
todas,94
ejemplo,93
elección,93
algunos,92
comunista,92
mil,92
sino,92
estamos,91
problema,91
será,91
haber,90
lado,90
quiero,90
quién,90
frente,89
visto,89
apoyo,88
entonces,88
ley,88
lugar,88
opinión,88
otras,88
programa,88
pueden,88
aquí,87
gracias,87
respecto,87
alguna,86
dijo,86
opinan,86
posible,86
casa,85
público,85
vamos,85
ahí,84
centro,84
quienes,84
realidad,84
saber,84
sería,84
acuerdo,83
bueno,83
pasado,83
sector,83
había,82
podría,82
veo,82
cambio,81
cual,81
primer,81
chilena,80
mano,80
misma,80
real,80
aún,79
falta,79
hacen,79
candidata,78
debe,78
noticias,78
nuestro,78
propuestas,78
votos,78
acá,77
final,77
punto,77
tenemos,77
fin,76
manera,76
quiere,76
haciendo,75
haya,75
países,75
sistema,75
debería,74
historia,74
hacia,73
nueva,73
piñera,73
varios,73
derecho,72
derechos,72
ella,72
existe,72
peor,72
esos,71
plan,71
políticos,71
salud,71
tampoco,71
dictadura,70
familia,70
fueron,70
mis,70
problemas,70
algún,69
atención,69
bajo,69
carabineros,69
dejar,69
días,69
horas,69
ningún,69
quieren,69
voy,69
actual,68
comentarios,68
meses,68
situación,68
comando,67
dar,67
democracia,67
embargo,67
simplemente,67
tres,67
video,67
empresa,66
miedo,66
presidenciales,66
argentina,65
dentro,65
muchas,65
propuesta,65
economía,64
moneda,64
proyecto,64
unos,64
bastante,63
bots,63
claro,63
diputado,63
encuentro,63
futuro,63
tal,63
tenía,63
buena,62
congreso,62
económico,62
hablando,62
medio,62
pasar,62
siento,62
violencia,62
discurso,61
hablar,61
llegar,61
nosotros,61
noticia,61
plata,61
educación,60
electoral,60
estallido,60
paso,60
pública,60
republicano,60
resultados,60
salir,60
santiago,60
viene,60
casos,59
contexto,59
esas,59
habla,59
auto,58
datos,58
deja,58
pasó,58
pueda,58
puedo,58
sabe,58
sentido,58
sigue,58
sociedad,58
único,58
cargo,57
información,57
mujeres,57
siquiera,57
cae,56
fiscal,56
mismos,56
nuestra,56
pais,56
públicos,56
sale,56
seguir,56
tenido,56
biobiochile,55
eran,55
ganar,55
libertad,55
allá,54
gusta,54
ideas,54
puntos,54
respuesta,54
sean,54
temas,54
asi,53
