rank,topic,term
1,1,algo
1,2,comunista
1,3,izquierda
1,4,politica
1,5,saben
1,6,dio
1,7,duda
1,8,parlamentaria
1,9,por
1,10,opinion
1,11,president
1,12,view
1,13,protesta
1,14,votación
1,15,vamo
2,1,mal
2,2,amigo
2,3,nunca
2,4,hay
2,5,chileno
2,6,toda
2,7,salir
2,8,mis
2,9,podría
2,10,foto
2,11,importa
2,12,tenía
2,13,lista
2,14,centro
2,15,esté
3,1,gobierno
3,2,desd
3,3,opinión
3,4,plan
3,5,inversión
3,6,discusión
3,7,eliminar
3,8,modelo
3,9,mejorar
3,10,miedo
3,11,josé
3,12,delincuencia
3,13,hacer
3,14,evelyn
3,15,requier
4,1,antonio
4,2,esa
4,3,institucion
4,4,puedan
4,5,frent
4,6,mediant
4,7,actual
4,8,programa
4,9,propon
4,10,digit
4,11,privado
4,12,aumento
4,13,falta
4,14,presupuesto
4,15,reducción
5,1,los
5,2,que
5,3,uno
5,4,poder
5,5,visto
5,6,respond
5,7,cuál
5,8,mas
5,9,ahí
5,10,cae
5,11,quién
5,12,princip
5,13,abuso
5,14,muert
5,15,ella
6,1,hora
6,2,estaba
6,3,ser
6,4,parec
6,5,pinochet
6,6,año
6,7,identidad
6,8,alguna
6,9,¿qué
6,10,dejar
6,11,pobr
6,12,delincuent
6,13,banco
6,14,pueden
6,15,golp
