oa_from_bloc,oa_frame,oa_to_target,n
left/no-PC,political-strategy/media,Kast,17
Republican right,political-strategy/media,Kast,15
left/no-PC,political-strategy/media,Jara,11
other-unclear,other,Kast,8
other-unclear,political-strategy/media,Kast,8
other-unclear,political-strategy/media,Multiple,7
other-unclear,political-strategy/media,Jara,6
Republican right,immigration,Kast,5
Republican right,other,Kast,5
Republican right,political-strategy/media,Jara,5
Republican right,security/crime,Kast,5
left/no-PC,debate-politico,Kast,5
left/no-PC,economy,Kast,5
left/no-PC,historical-memory/dictatorship,Jara,5
left/no-PC,historical-memory/dictatorship,Kast,5
left/no-PC,other,Jara,5
other-unclear,other,Jara,5
left/no-PC,debate-politico,Jara,4
left/no-PC,historical-memory/dictatorship,Kaiser,4
left/no-PC,political-strategy/media,Kaiser,4
left/no-PC,protest/estallido-octubrismo,Kast,4
left/no-PC,social-rights,Kast,4
Republican right,debate-politico,Kast,3
Republican right,immigration,Kaiser,3
Republican right,security/crime,Jara,3
Republican right,social-rights,Kast,3
left/no-PC,economy,Kaiser,3
Republican right,anti-communism,Kast,2
Republican right,historical-memory/dictatorship,Kast,2
Republican right,immigration,Jara,2
Republican right,political-strategy/media,Kaiser,2
left/no-PC,democracy/institutions,Kast,2
left/no-PC,economy,Jara,2
left/no-PC,human-rights/violence,Kast,2
left/no-PC,immigration,Kast,2
left/no-PC,other,Kaiser,2
left/no-PC,other,Kast,2
left/no-PC,political-strategy/media,Matthei,2
left/no-PC,security/crime,Jara,2
left/no-PC,security/crime,Kast,2
other-unclear,debate-politico,Jara,2
other-unclear,debate-politico,Multiple,2
other-unclear,economy,Kast,2
other-unclear,other,Kaiser,2
other-unclear,other,Multiple,2
other-unclear,political-strategy/media,Other,2
