from,to,n,us_vs_them_share
Republican right,anti-communism,3,1
Republican right,debate-politico,3,1
Republican right,historical-memory/dictatorship,2,1
Republican right,immigration,11,0.7272727272727273
Republican right,other,8,0.875
Republican right,political-strategy/media,23,0.7391304347826086
Republican right,security/crime,8,0.75
Republican right,social-rights,3,1
Traditional right,debate-politico,2,0.5
left/no-PC,anti-communism,2,1
left/no-PC,corruption/elite,2,1
left/no-PC,debate-politico,10,0.8
left/no-PC,democracy/institutions,2,0
left/no-PC,economy,10,0.9
left/no-PC,historical-memory/dictatorship,15,0.9333333333333333
left/no-PC,human-rights/violence,2,1
left/no-PC,immigration,4,1
left/no-PC,other,10,0.8
left/no-PC,political-strategy/media,34,0.7941176470588235
left/no-PC,protest/estallido-octubrismo,4,1
left/no-PC,public-services/state,3,0.6666666666666666
left/no-PC,security/crime,4,1
left/no-PC,social-rights,5,1
other-unclear,debate-politico,6,0.16666666666666666
other-unclear,economy,3,0
other-unclear,fact-checking/clarification,2,0
other-unclear,immigration,2,0.5
other-unclear,other,18,0.16666666666666666
other-unclear,political-strategy/media,24,0.041666666666666664
