phase,bloc,mean,std
post-break,Left,0.33510678401539595,0.4328079016080544
post-break,Right-Libertarian,0.39380323016584284,0.456124228522732
post-break,Right-Radical-Conservative,0.2975314789116888,0.421825653942487
post-break,Right-Traditional,0.282807682178865,0.41626244748207925
pre-break,Left,0.3163636090294841,0.4373554204248462
pre-break,Right-Libertarian,0.33778678026207964,0.44472974791511083
pre-break,Right-Radical-Conservative,0.33201550720854567,0.4396381379714642
pre-break,Right-Traditional,0.2984078861283533,0.4268972172996864
runoff,Left,0.2670974435810912,0.4095857701313198
runoff,Right-Libertarian,0.2665494648862172,0.40167050240136554
runoff,Right-Radical-Conservative,0.2583613591362134,0.4052903518023952
runoff,Right-Traditional,0.24466781532213566,0.3927051491611295
