phase,bloc,mean_prob,ci_lower,ci_upper,n
pre-break,Right-Radical-Conservative,0.33201550720854567,0.26523810482048726,0.4263881591515531,439
pre-break,Right-Libertarian,0.3377867802620797,0.24717085719303664,0.42077946323410287,265
pre-break,Right-Traditional,0.2984078861283533,0.23378907549389893,0.3740773258665553,605
pre-break,Left,0.3163636090294841,0.24858150414203992,0.37443805099562694,396
post-break,Right-Radical-Conservative,0.29753147891168885,0.2135270174104611,0.3683137759896553,305
post-break,Right-Libertarian,0.39380323016584284,0.30733821660204613,0.4865944757186861,171
post-break,Right-Traditional,0.282807682178865,0.18815161501658467,0.37761783385349823,455
post-break,Left,0.335106784015396,0.2512996553037514,0.4162338726515075,308
runoff,Right-Radical-Conservative,0.2583613591362134,0.1866062932618063,0.33468091411017836,842
runoff,Right-Libertarian,0.2665494648862172,0.17607499849032357,0.35035005108730616,466
runoff,Right-Traditional,0.2446678153221357,0.17073407804752053,0.3142012698767044,1213
runoff,Left,0.2670974435810912,0.19222814769818253,0.3422634282383366,773
