week,cosine_similarity
2025-07-28/2025-08-03,0.37664558155148153
2025-08-04/2025-08-10,0.7302529965455138
2025-08-11/2025-08-17,0.8472827215220807
2025-08-18/2025-08-24,0.7865166452562377
2025-08-25/2025-08-31,0.8059994199244391
2025-09-01/2025-09-07,0.891049498145096
2025-09-08/2025-09-14,0.8821487037630774
2025-09-15/2025-09-21,0.8221772001297566
2025-09-22/2025-09-28,0.8411578137441653
2025-09-29/2025-10-05,0.8869765440666338
2025-10-06/2025-10-12,0.7081863484382
2025-10-13/2025-10-19,0.8884702706567369
2025-10-20/2025-10-26,0.8819561271491513
2025-10-27/2025-11-02,0.8650890535090632
2025-11-03/2025-11-09,0.9506631788567944
2025-11-10/2025-11-16,0.9662277906668063
2025-11-17/2025-11-23,0.9538938246380457
2025-11-24/2025-11-30,0.9468369310572019
2025-12-01/2025-12-07,0.9627968142972402
2025-12-08/2025-12-14,0.9732222659745312
2025-12-15/2025-12-21,0.9374637715530185
2025-12-22/2025-12-28,0.9437820004988519
2025-12-29/2026-01-04,0.8490443834207344
