fecha,Kast,Kaiser,Matthei,Jara,Parisi,Mayne_Nicholls,Total
2025-08-05,1,1,9,53,0,0,56
2025-08-06,436,9,39,746,98,3,851
2025-08-07,41,42,20,181,17,0,264
2025-08-08,136,7,6,19,61,0,209
2025-08-09,82,6,9,193,1,2,206
2025-08-10,79,14,259,271,28,43,329
2025-08-11,55,7,14,80,10,1,242
2025-08-12,411,6,53,387,54,0,747
2025-08-13,268,228,11,217,4,0,683
2025-08-14,79,164,41,8,2,0,258
2025-08-15,97,4,1,34,5,6,153
2025-08-16,40,5,21,43,0,102,153
2025-08-17,21,6,10,21,1,3,93
2025-08-18,357,20,23,265,21,5,708
2025-08-19,148,53,50,211,5,0,354
2025-08-20,250,23,95,162,19,2,445
2025-08-21,483,122,15,212,4,1,763
2025-08-22,536,12,142,250,3,1,584
2025-08-23,210,33,18,106,4,3,365
2025-08-24,809,64,18,162,9,0,887
2025-08-25,427,14,55,199,1,1,560
2025-08-26,180,15,23,66,9,3,263
2025-08-27,394,370,20,103,3,3,837
2025-08-28,210,181,23,221,123,2,771
2025-08-29,117,125,30,282,7,1,450
2025-08-30,137,15,7,99,0,60,217
2025-08-31,87,101,31,280,4,3,374
2025-09-01,343,21,25,200,16,2,504
2025-09-02,262,195,170,153,21,2,483
2025-09-03,256,4,12,228,3,2,490
2025-09-04,1170,33,425,473,14,4,1500
2025-09-05,538,76,32,271,11,0,688
2025-09-06,296,9,102,157,6,35,378
2025-09-07,162,25,71,137,12,0,259
2025-09-08,546,41,24,164,27,4,639
2025-09-09,44,11,26,129,2,0,182
2025-09-10,310,133,88,319,128,92,946
2025-09-11,462,440,184,792,183,244,1701
2025-09-12,630,59,60,397,12,175,989
2025-09-13,132,82,22,256,115,31,493
2025-09-14,475,36,517,375,35,234,881
2025-09-15,283,31,23,151,13,3,437
2025-09-16,186,33,77,101,12,9,552
2025-09-17,105,17,23,98,7,0,277
2025-09-18,12,5,3,3,1,0,32
2025-09-19,136,6,32,237,7,8,289
2025-09-20,220,69,187,241,39,147,508
2025-09-21,194,24,47,235,3,4,387
2025-09-22,404,76,8,67,4,8,479
2025-09-23,288,208,10,51,35,30,551
2025-09-24,86,78,6,17,7,2,177
2025-09-25,323,23,21,257,7,3,592
2025-09-26,242,66,41,90,4,6,385
2025-09-27,254,20,81,286,19,15,474
2025-09-28,343,13,177,109,76,4,601
2025-09-29,195,9,126,41,2,0,365
2025-09-30,239,50,36,318,18,7,569
2025-10-01,534,118,79,494,23,11,954
2025-10-02,442,15,13,48,6,0,515
2025-10-03,178,47,332,128,6,51,734
2025-10-04,46,23,20,58,3,108,237
2025-10-05,249,42,36,443,12,146,802
2025-10-06,283,26,19,193,7,112,536
2025-10-07,156,117,54,97,62,42,383
2025-10-08,138,26,48,152,7,0,302
2025-10-09,153,83,17,71,1,0,296
2025-10-10,236,400,116,307,17,5,894
2025-10-11,390,8,5,359,1,0,716
2025-10-12,234,38,199,190,3,16,428
2025-10-13,628,87,195,286,22,15,1012
2025-10-14,236,25,15,69,7,73,389
2025-10-15,93,45,151,204,4,0,442
2025-10-16,293,33,12,196,9,50,643
2025-10-17,96,23,20,45,21,2,275
2025-10-18,454,184,296,312,13,11,720
2025-10-19,353,252,256,263,544,2,664
2025-10-20,735,310,128,76,28,10,1107
2025-10-21,74,4,18,180,0,0,281
2025-10-22,1756,178,122,1805,51,16,3111
2025-10-23,399,25,12,681,6,4,872
2025-10-24,304,324,843,470,75,31,1590
2025-10-25,231,284,198,179,229,11,946
2025-10-26,1130,491,586,558,237,106,1606
2025-10-27,509,622,342,246,33,10,1316
2025-10-28,101,369,126,436,302,4,832
2025-10-29,693,1159,122,82,40,212,2163
2025-10-30,590,569,381,447,20,20,1047
2025-10-31,378,902,486,812,73,204,1708
2025-11-01,222,530,226,214,31,4,731
2025-11-02,243,792,40,73,19,8,1070
2025-11-03,476,1104,112,460,58,21,1873
2025-11-04,107,1025,111,203,117,14,1521
