from_bloc,target_bloc,total_attacks_attack,total_defenses_defend,attack_weight,defend_weight,net_sentiment
Republican right,Traditional right,116,133,492.00000000000006,528.9999999999999,36.99999999999983
Traditional right,Traditional right,116,132,474.0000000000001,529,54.999999999999886
Left-PC,Republican right,95,127,386.9999999999999,529.0000000000002,142.00000000000034
Traditional right,Left-PC,93,126,371.00000000000006,529.9999999999999,158.99999999999983
Left-PC,Left-PC,89,128,370.99999999999994,515,144.00000000000006
Left-PC,Traditional right,88,181,355.99999999999994,762.9999999999999,406.99999999999994
Republican right,Republican right,78,105,332.99999999999994,440.0000000000001,107.00000000000017
Libertarian right,Traditional right,77,95,322.00000000000006,409.00000000000006,87
Traditional right,Republican right,77,149,317.99999999999994,629.9999999999999,311.99999999999994
Traditional right,Libertarian right,73,103,313.00000000000006,416.99999999999994,103.99999999999989
Republican right,Left-PC,74,99,311.99999999999994,423,111.00000000000006
Left-PC,Libertarian right,70,128,300.00000000000006,529,228.99999999999994
Republican right,Libertarian right,70,77,278,330.00000000000006,52.00000000000006
Libertarian right,Republican right,66,81,276,337,61
Libertarian right,Left-PC,66,83,271,315.00000000000006,44.00000000000006
Libertarian right,Libertarian right,57,60,236.99999999999994,237.99999999999997,1.0000000000000284
