month_date,from_bloc,avg_intensity,count
2024-06-01,Left-PC,3.2202380952380953,168
2024-06-01,Libertarian right,3.267605633802817,142
2024-06-01,Republican right,3.230769230769231,169
2024-06-01,Traditional right,3.1931330472103,233
2024-07-01,Left-PC,3.3,170
2024-07-01,Libertarian right,3.198717948717949,156
2024-07-01,Republican right,3.33879781420765,183
2024-07-01,Traditional right,3.220720720720721,222
2024-08-01,Left-PC,4.063583815028902,173
2024-08-01,Libertarian right,4.0927152317880795,151
2024-08-01,Republican right,4.201086956521739,184
2024-08-01,Traditional right,4.046082949308756,217
2024-09-01,Left-PC,4.173913043478261,161
2024-09-01,Libertarian right,4.204918032786885,122
2024-09-01,Republican right,4.135869565217392,184
2024-09-01,Traditional right,4.164102564102564,195
2024-10-01,Left-PC,4.614942528735632,174
2024-10-01,Libertarian right,4.6558441558441555,154
2024-10-01,Republican right,4.716666666666667,180
2024-10-01,Traditional right,4.594713656387666,227
2024-11-01,Left-PC,4.734463276836158,177
2024-11-01,Libertarian right,4.710344827586207,145
2024-11-01,Republican right,4.682539682539683,189
2024-11-01,Traditional right,4.67906976744186,215
2024-12-01,Left-PC,4.949367088607595,158
2024-12-01,Libertarian right,4.907894736842105,152
2024-12-01,Republican right,4.870056497175141,177
2024-12-01,Traditional right,4.900900900900901,222
