fecha,candidato,n_posts,n_comments,n_users,avg_score,median_score,comments_per_post,users_per_post
2025-08-05,Jara,2,29,15,5.655172413793103,5,14.5,7.5
2025-08-05,Kaiser,1,1,1,22,22,1,1
2025-08-05,Kast,1,1,1,22,22,1,1
2025-08-05,Matthei,3,4,4,-0.75,1.5,1.3333333333333333,1.3333333333333333
2025-08-06,Jara,13,706,283,12.141643059490082,4,54.30769230769231,21.76923076923077
2025-08-06,Kaiser,5,7,7,8.142857142857142,4,1.4,1.4
2025-08-06,Kast,11,395,154,10.582278481012661,3,35.90909090909091,14
2025-08-06,Matthei,7,44,36,16.863636363636363,7,6.285714285714286,5.142857142857143
2025-08-06,Mayne,2,3,3,1,1,1.5,1.5
2025-08-06,Parisi,4,45,30,30.86666666666666,16,11.25,7.5
2025-08-07,Jara,15,212,111,11.17452830188681,4,14.133333333333333,7.4
2025-08-07,Kaiser,7,41,37,27.146341463414636,11,5.857142857142857,5.285714285714286
2025-08-07,Kast,15,66,43,7.6363636363636385,3,4.4,2.8666666666666667
2025-08-07,Matthei,4,18,9,10.5,10,4.5,2.25
2025-08-07,Parisi,2,67,53,3.716417910447761,2,33.5,26.5
2025-08-08,Jara,11,38,29,4.473684210526317,1,3.4545454545454546,2.6363636363636362
2025-08-08,Kaiser,6,9,9,8.555555555555555,3,1.5,1.5
2025-08-08,Kast,10,145,73,14.510344827586206,6,14.5,7.3
2025-08-08,Matthei,4,8,7,14.25,5,2,1.75
2025-08-08,Parisi,4,61,52,13.639344262295081,6,15.25,13
2025-08-09,Jara,9,175,93,14.462857142857139,5,19.444444444444443,10.333333333333334
2025-08-09,Kaiser,5,5,4,3.4,4,1,0.8
2025-08-09,Kast,9,68,51,20.45588235294118,9,7.555555555555555,5.666666666666667
2025-08-09,Matthei,5,7,6,6.142857142857143,7,1.4,1.2
2025-08-09,Parisi,2,2,2,1,1,1,1
2025-08-10,Jara,13,254,132,13.244094488189013,5.5,19.53846153846154,10.153846153846153
2025-08-10,Kaiser,4,8,7,5.125,2,2,1.75
2025-08-10,Kast,11,120,78,8.61666666666666,3,10.909090909090908,7.090909090909091
2025-08-10,Matthei,6,157,84,19.04458598726115,10,26.166666666666668,14
2025-08-10,Mayne,2,37,20,15.891891891891895,7,18.5,10
2025-08-10,Parisi,3,19,15,41.10526315789474,15,6.333333333333333,5
2025-08-11,Jara,10,186,110,6.247311827956986,2,18.6,11
2025-08-11,Kaiser,4,11,11,10.727272727272727,5,2.75,2.75
2025-08-11,Kast,10,51,45,18.490196078431364,7,5.1,4.5
2025-08-11,Matthei,3,101,59,4.544554455445546,2,33.666666666666664,19.666666666666668
2025-08-11,Mayne,1,4,4,1.25,1.5,4,4
2025-08-11,Parisi,6,18,17,4.333333333333333,2,3,2.8333333333333335
2025-08-12,Jara,16,295,197,20.24067796610171,7,18.4375,12.3125
2025-08-12,Kaiser,5,5,5,7,8,1,1
2025-08-12,Kast,19,366,196,16.325136612021847,6,19.263157894736842,10.31578947368421
2025-08-12,Matthei,9,62,51,9.725806451612906,4,6.888888888888889,5.666666666666667
2025-08-12,Mayne,1,1,1,1,1,1,1
2025-08-12,Parisi,6,38,31,12.210526315789474,6,6.333333333333333,5.166666666666667
2025-08-13,Jara,20,274,163,10.427007299270088,3,13.7,8.15
2025-08-13,Kaiser,8,171,118,22.56725146198829,8,21.375,14.75
2025-08-13,Kast,21,317,172,12.83911671924291,3,15.095238095238095,8.19047619047619
2025-08-13,Matthei,10,25,18,9.64,4,2.5,1.8
2025-08-13,Mayne,1,1,1,1,1,1,1
2025-08-13,Parisi,4,19,14,0.10526315789473706,1,4.75,3.5
2025-08-14,Jara,11,56,40,2.6964285714285716,2,5.090909090909091,3.6363636363636362
2025-08-14,Kaiser,4,161,107,12.136645962732912,3,40.25,26.75
2025-08-14,Kast,17,103,64,9.990291262135917,4,6.0588235294117645,3.764705882352941
2025-08-14,Matthei,6,40,29,6.150000000000001,4,6.666666666666667,4.833333333333333
2025-08-14,Parisi,3,4,3,1,1,1.3333333333333333,1
2025-08-15,Jara,12,36,32,7.7777777777777795,2,3,2.6666666666666665
2025-08-15,Kaiser,4,53,41,2.8490566037735854,1,13.25,10.25
2025-08-15,Kast,11,68,42,11.82352941176471,2.5,6.181818181818182,3.8181818181818183
2025-08-15,Matthei,1,5,3,1.6,1,5,3
2025-08-15,Mayne,1,1,1,3,3,1,1
2025-08-15,Parisi,2,4,4,8.25,2.5,2,2
2025-08-16,Jara,12,48,41,8.083333333333332,2,4,3.4166666666666665
2025-08-16,Kaiser,7,54,25,2.2222222222222223,2,7.714285714285714,3.5714285714285716
2025-08-16,Kast,13,64,53,8.8125,2,4.923076923076923,4.076923076923077
2025-08-16,Matthei,4,12,12,23,20.5,3,3
2025-08-16,Mayne,1,73,56,20.61643835616438,13,73,56
2025-08-17,Jara,13,36,30,6.25,3.5,2.769230769230769,2.3076923076923075
2025-08-17,Kaiser,5,9,5,3.2222222222222223,1,1.8,1
2025-08-17,Kast,15,43,38,6.27906976744186,4,2.8666666666666667,2.533333333333333
2025-08-17,Matthei,8,24,23,6.125,3,3,2.875
2025-08-17,Mayne,3,26,10,4.230769230769231,4,8.666666666666666,3.3333333333333335
2025-08-17,Parisi,3,3,3,1.6666666666666667,1,1,1
2025-08-18,Jara,20,233,147,12.49356223175966,4,11.65,7.35
2025-08-18,Kaiser,12,26,24,15.115384615384617,11.5,2.1666666666666665,2
2025-08-18,Kast,21,334,215,18.880239520958096,5,15.904761904761905,10.238095238095237
2025-08-18,Matthei,9,20,20,21.550000000000004,11.5,2.2222222222222223,2.2222222222222223
2025-08-18,Mayne,3,12,10,11.666666666666668,11.5,4,3.3333333333333335
2025-08-18,Parisi,6,38,33,9.236842105263158,7,6.333333333333333,5.5
2025-08-19,Jara,24,217,142,20.078341013824872,10,9.041666666666666,5.916666666666667
2025-08-19,Kaiser,11,73,57,10.095890410958907,6,6.636363636363637,5.181818181818182
2025-08-19,Kast,27,384,181,5.635416666666667,2,14.222222222222221,6.703703703703703
2025-08-19,Matthei,8,39,28,9.717948717948719,4,4.875,3.5
2025-08-19,Mayne,2,14,9,4.428571428571429,4,7,4.5
2025-08-19,Parisi,9,21,17,5.095238095238095,3,2.3333333333333335,1.8888888888888888
2025-08-20,Jara,26,379,195,4.733509234828499,2,14.576923076923077,7.5
2025-08-20,Kaiser,13,159,80,3.993710691823899,2,12.23076923076923,6.153846153846154
2025-08-20,Kast,25,295,169,8.98983050847457,3,11.8,6.76
2025-08-20,Matthei,11,113,83,15.946902654867268,3,10.272727272727273,7.545454545454546
2025-08-20,Mayne,2,3,3,24,2,1.5,1.5
2025-08-20,Parisi,6,54,32,2.3148148148148135,1,9,5.333333333333333
2025-08-21,Jara,19,165,88,10.587878787878791,3,8.68421052631579,4.631578947368421
2025-08-21,Kaiser,10,295,226,27.433898305084732,7,29.5,22.6
2025-08-21,Kast,31,387,232,12.214470284237734,3,12.483870967741936,7.483870967741935
2025-08-21,Matthei,8,26,24,9.153846153846153,2,3.25,3
2025-08-21,Mayne,1,1,1,1,1,1,1
2025-08-21,Parisi,5,5,5,11,1,1,1
2025-08-22,Jara,19,280,139,6.8500000000000005,3,14.736842105263158,7.315789473684211
2025-08-22,Kaiser,11,75,67,2.68,2,6.818181818181818,6.090909090909091
2025-08-22,Kast,31,549,266,7.440801457194911,3,17.70967741935484,8.580645161290322
2025-08-22,Matthei,9,142,63,6.75352112676056,5,15.777777777777779,7
2025-08-22,Mayne,1,1,1,4,4,1,1
2025-08-22,Parisi,5,5,5,5.6,2,1,1
2025-08-23,Jara,23,142,92,5.330985915492956,2,6.173913043478261,4
2025-08-23,Kaiser,11,37,29,5.540540540540539,1,3.3636363636363638,2.6363636363636362
2025-08-23,Kast,29,244,137,7.213114754098367,2,8.413793103448276,4.724137931034483
2025-08-23,Matthei,8,15,12,27,6,1.875,1.5
2025-08-23,Mayne,2,2,2,5.5,5.5,1,1
2025-08-23,Parisi,4,7,5,12.714285714285714,1,1.75,1.25
2025-08-24,Jara,23,213,132,14.300469483568067,5,9.26086956521739,5.739130434782608
2025-08-24,Kaiser,14,126,68,4.515873015873018,1,9,4.857142857142857
2025-08-24,Kast,27,688,373,13.396802325581419,4,25.48148148148148,13.814814814814815
2025-08-24,Matthei,9,49,39,5.204081632653062,2,5.444444444444445,4.333333333333333
2025-08-24,Mayne,1,1,1,14,14,1,1
2025-08-24,Parisi,4,9,8,0.5555555555555557,1,2.25,2
2025-08-25,Jara,26,159,95,6.9811320754717,2,6.115384615384615,3.6538461538461537
2025-08-25,Kaiser,12,25,18,2.3600000000000003,1,2.0833333333333335,1.5
2025-08-25,Kast,38,355,203,4.861971830985921,2,9.342105263157896,5.342105263157895
2025-08-25,Matthei,9,58,43,8.775862068965518,3.5,6.444444444444445,4.777777777777778
2025-08-25,Parisi,2,2,2,1,1,1,1
2025-08-26,Jara,29,109,73,4.651376146788991,2,3.7586206896551726,2.5172413793103448
2025-08-26,Kaiser,7,9,8,7.666666666666666,1,1.2857142857142858,1.1428571428571428
2025-08-26,Kast,36,425,250,19.014117647058836,2,11.805555555555555,6.944444444444445
2025-08-26,Matthei,13,26,20,4.73076923076923,2,2,1.5384615384615385
2025-08-26,Mayne,2,2,2,1,1,1,1
2025-08-26,Parisi,5,8,8,9.125,2.5,1.6,1.6
2025-08-27,Jara,24,114,75,10.026315789473681,5,4.75,3.125
2025-08-27,Kaiser,14,258,174,14.302325581395335,4,18.428571428571427,12.428571428571429
2025-08-27,Kast,33,400,184,5.627500000000002,2,12.121212121212121,5.575757575757576
2025-08-27,Matthei,11,21,13,5.666666666666666,3,1.9090909090909092,1.1818181818181819
2025-08-27,Mayne,3,4,4,6,5.5,1.3333333333333333,1.3333333333333333
2025-08-27,Parisi,2,2,2,3,3,1,1
2025-08-28,Jara,18,207,136,8.835748792270534,3,11.5,7.555555555555555
2025-08-28,Kaiser,10,231,137,11.437229437229426,2,23.1,13.7
2025-08-28,Kast,28,178,105,10.016853932584267,1,6.357142857142857,3.75
2025-08-28,Matthei,7,11,9,4.636363636363637,2,1.5714285714285714,1.2857142857142858
2025-08-28,Mayne,2,68,58,7.117647058823526,3,34,29
2025-08-28,Parisi,7,94,78,6.127659574468086,2,13.428571428571429,11.142857142857142
2025-08-29,Jara,16,261,173,7.19157088122606,3,16.3125,10.8125
2025-08-29,Kaiser,16,207,142,8.270531400966178,2,12.9375,8.875
2025-08-29,Kast,21,216,154,7.1666666666666625,2,10.285714285714286,7.333333333333333
2025-08-29,Matthei,5,33,29,6.393939393939395,2,6.6,5.8
2025-08-29,Mayne,3,9,8,6.222222222222223,2,3,2.6666666666666665
