candidato,fecha_evento,tipo
Jara,2025-10-21,change_point
Jara,2025-10-23,change_point
Jara,2025-11-10,change_point
Jara,2025-11-15,change_point
Jara,2025-11-19,change_point
Jara,2025-12-16,change_point
Jara,2025-12-18,change_point
Jara,2025-12-29,change_point
Jara,2026-01-02,change_point
Jara,2026-01-04,change_point
Jara,2026-01-19,change_point
Kaiser,2025-08-12,change_point
Kaiser,2025-09-11,change_point
Kaiser,2025-09-13,change_point
Kaiser,2025-10-25,change_point
Kaiser,2025-11-18,change_point
Kaiser,2025-11-29,change_point
Kaiser,2025-12-03,change_point
Kaiser,2025-12-28,change_point
Kaiser,2025-12-30,change_point
Kaiser,2026-01-07,change_point
Kaiser,2026-01-09,change_point
Kaiser,2026-01-11,change_point
Kaiser,2026-01-13,change_point
Kast,2025-08-17,change_point
Kast,2025-10-05,change_point
Kast,2025-10-07,change_point
Kast,2025-10-21,change_point
Kast,2025-11-13,change_point
Kast,2025-11-15,change_point
Kast,2025-11-19,change_point
Kast,2025-12-13,change_point
Kast,2025-12-15,change_point
Kast,2025-12-18,change_point
Kast,2025-12-28,change_point
Kast,2026-01-15,change_point
Matthei,2025-09-01,change_point
Matthei,2025-09-17,change_point
Matthei,2025-09-19,change_point
Matthei,2025-10-23,change_point
Matthei,2025-11-14,change_point
Matthei,2025-11-18,change_point
Matthei,2025-11-23,change_point
Matthei,2025-11-29,change_point
Matthei,2025-12-01,change_point
Matthei,2025-12-12,change_point
Matthei,2025-12-15,change_point
Matthei,2025-12-20,change_point
Matthei,2025-12-23,change_point
Matthei,2025-12-26,change_point
Matthei,2025-12-28,change_point
Matthei,2025-12-31,change_point
Matthei,2026-01-07,change_point
Matthei,2026-01-11,change_point
Matthei,2026-01-14,change_point
Matthei,2026-01-16,change_point
Matthei,2026-01-18,change_point
Mayne,2025-08-06,change_point
Mayne,2025-08-09,change_point
Mayne,2025-08-11,change_point
Mayne,2025-08-13,change_point
Mayne,2025-08-20,change_point
Mayne,2025-08-22,change_point
Mayne,2025-08-27,change_point
Mayne,2025-08-31,change_point
Mayne,2025-09-05,change_point
Mayne,2025-09-10,change_point
Mayne,2025-09-24,change_point
Mayne,2025-09-26,change_point
Mayne,2025-09-28,change_point
Mayne,2025-09-30,change_point
Mayne,2025-10-07,change_point
Mayne,2025-10-13,change_point
Mayne,2025-10-20,change_point
Mayne,2025-10-22,change_point
Mayne,2025-10-25,change_point
Mayne,2025-10-27,change_point
Mayne,2025-11-04,change_point
Mayne,2025-11-10,change_point
Mayne,2025-11-23,change_point
Mayne,2025-11-29,change_point
Mayne,2025-12-03,change_point
Mayne,2025-12-07,change_point
Mayne,2025-12-09,change_point
Mayne,2025-12-11,change_point
Mayne,2025-12-14,change_point
Mayne,2025-12-18,change_point
Mayne,2025-12-24,change_point
Mayne,2025-12-28,change_point
Parisi,2025-08-13,change_point
Parisi,2025-08-15,change_point
Parisi,2025-08-20,change_point
Parisi,2025-08-22,change_point
Parisi,2025-08-27,change_point
Parisi,2025-08-29,change_point
Parisi,2025-09-04,change_point
Parisi,2025-09-06,change_point
Parisi,2025-10-08,change_point
Parisi,2025-10-16,change_point
Parisi,2025-11-11,change_point
Parisi,2025-11-21,change_point
Parisi,2025-12-04,change_point
Parisi,2025-12-11,change_point
Parisi,2025-12-15,change_point
Parisi,2025-12-18,change_point
Parisi,2025-12-20,change_point
Parisi,2025-12-22,change_point
Parisi,2025-12-24,change_point
Parisi,2025-12-29,change_point
Parisi,2025-12-31,change_point
Parisi,2026-01-02,change_point
Parisi,2026-01-09,change_point
Parisi,2026-01-12,change_point
Parisi,2026-01-14,change_point
Parisi,2026-01-16,change_point
Parisi,2026-01-18,change_point
