bigram,count,candidato
segunda vuelta,89,kast
redd it,81,kast
preview redd,80,kast
https preview,80,kast
auto webp,79,kast
https www,78,kast
yo creo,67,kast
jpeg width,50,kast
format pjpg,50,kast
pjpg auto,50,kast
primera vuelta,39,kast
da mismo,33,kast
png auto,29,kast
png width,28,kast
format png,28,kast
he visto,27,kast
izquierda derecha,26,kast
gif giphy,26,kast
partido comunista,22,kast
fake news,22,kast
segunda vuelta,48,kaiser
https www,26,kaiser
preview redd,14,kaiser
redd it,14,kaiser
yo creo,14,kaiser
https preview,14,kaiser
auto webp,14,kaiser
derechos humanos,11,kaiser
pjpg auto,11,kaiser
primera vuelta,11,kaiser
format pjpg,11,kaiser
jpeg width,11,kaiser
lenguaje inclusivo,10,kaiser
www youtube,10,kaiser
com watch,10,kaiser
youtube com,10,kaiser
extrema derecha,9,kaiser
mano dura,8,kaiser
cl noticias,7,kaiser
partido republicano,7,kaiser
segunda vuelta,37,matthei
centro izquierda,18,matthei
https www,17,matthei
yo creo,15,matthei
primera vuelta,13,matthei
redd it,10,matthei
preview redd,8,matthei
auto webp,8,matthei
https preview,8,matthei
extrema derecha,8,matthei
format pjpg,6,matthei
hubiera sido,6,matthei
hace años,6,matthei
pjpg auto,6,matthei
jpeg width,6,matthei
derecha más,5,matthei
derecha izquierda,5,matthei
he visto,5,matthei
da pena,5,matthei
cosa nostra,5,matthei
segunda vuelta,87,jara
https www,53,jara
partido comunista,48,jara
centro izquierda,47,jara
primera vuelta,46,jara
redd it,44,jara
auto webp,43,jara
preview redd,43,jara
https preview,43,jara
yo creo,42,jara
he visto,26,jara
format png,22,jara
png auto,22,jara
png width,22,jara
jpeg width,21,jara
pjpg auto,21,jara
format pjpg,21,jara
sueldo mínimo,19,jara
gobierno boric,17,jara
gif giphy,16,jara
