dia,prob_neg_jara,prob_neg_kast,prob_pos_jara,prob_pos_kast,n_jara,n_kast,dif_neg_jara_menos_kast,dif_pos_jara_menos_kast,ventana_eleccion,es_debate
2025-08-05,0.0,,0.0,,1.0,,,,resto,0
2025-08-06,0.42424242424242425,1.0,0.0,0.0,33.0,14.0,-0.5757575757575757,0.0,resto,0
2025-08-07,0.6666666666666666,0.0,0.0,0.0,6.0,1.0,0.6666666666666666,0.0,resto,0
2025-08-08,,0.6,,0.0,,5.0,,,resto,0
2025-08-09,0.0,0.75,0.0,0.0,7.0,4.0,-0.75,0.0,resto,0
2025-08-10,0.5384615384615384,0.6666666666666666,0.07692307692307693,0.0,13.0,3.0,-0.1282051282051282,0.07692307692307693,resto,0
2025-08-11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,resto,0
2025-08-12,0.65,0.8571428571428571,0.05,0.07142857142857142,20.0,14.0,-0.20714285714285707,-0.021428571428571422,resto,0
2025-08-13,1.0,0.7777777777777778,0.0,0.0,8.0,9.0,0.2222222222222222,0.0,resto,0
2025-08-14,,0.6,,0.2,,5.0,,,resto,0
2025-08-15,0.0,,0.0,,1.0,,,,resto,0
2025-08-16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,resto,0
2025-08-17,0.5,0.0,0.0,0.0,2.0,1.0,0.5,0.0,resto,0
2025-08-18,0.6666666666666666,0.4,0.0,0.0,9.0,10.0,0.2666666666666666,0.0,resto,0
2025-08-19,0.9,0.6,0.0,0.0,10.0,5.0,0.30000000000000004,0.0,resto,0
2025-08-20,0.5,0.6,0.0,0.1,4.0,10.0,-0.09999999999999998,-0.1,resto,0
2025-08-21,0.7272727272727273,0.6666666666666666,0.09090909090909091,0.06666666666666667,11.0,15.0,0.06060606060606066,0.024242424242424246,resto,0
2025-08-22,0.06666666666666667,0.7083333333333334,0.13333333333333333,0.08333333333333333,15.0,24.0,-0.6416666666666667,0.05,resto,0
2025-08-23,0.25,0.6153846153846154,0.0,0.0,4.0,13.0,-0.3653846153846154,0.0,resto,0
2025-08-24,0.3333333333333333,0.6923076923076923,0.0,0.05128205128205128,9.0,39.0,-0.358974358974359,-0.05128205128205128,resto,0
2025-08-25,0.3333333333333333,0.625,0.0,0.0625,6.0,16.0,-0.2916666666666667,-0.0625,resto,0
2025-08-26,0.5,0.75,0.0,0.0,2.0,8.0,-0.25,0.0,resto,0
2025-08-27,0.375,0.8461538461538461,0.0,0.0,8.0,13.0,-0.47115384615384615,0.0,resto,0
2025-08-28,0.8333333333333334,0.6666666666666666,0.0,0.0,6.0,3.0,0.16666666666666674,0.0,resto,0
2025-08-29,0.6666666666666666,1.0,0.0,0.0,9.0,2.0,-0.33333333333333337,0.0,resto,0
2025-08-30,0.0,0.7272727272727273,0.0,0.0,9.0,11.0,-0.7272727272727273,0.0,resto,0
2025-08-31,0.7272727272727273,0.5714285714285714,0.0,0.14285714285714285,11.0,7.0,0.1558441558441559,-0.14285714285714285,resto,0
2025-09-01,0.5,0.5714285714285714,0.5,0.14285714285714285,2.0,7.0,-0.0714285714285714,0.35714285714285715,resto,0
2025-09-02,0.2,0.8888888888888888,0.2,0.0,5.0,9.0,-0.6888888888888889,0.2,resto,0
