emo_origen,emo_destino,n_autores,candidato_origen,candidato_destino,par_etiqueta,pct
desprecio,desprecio,13,kast,jara,Kast → Jara,36.111111111111114
desprecio,indignacion,8,kast,jara,Kast → Jara,22.22222222222222
desprecio,ironia,7,kast,jara,Kast → Jara,19.444444444444443
desprecio,miedo,1,kast,jara,Kast → Jara,2.7777777777777777
desprecio,ninguna,7,kast,jara,Kast → Jara,19.444444444444443
indignacion,desprecio,11,kast,jara,Kast → Jara,31.428571428571427
indignacion,esperanza,2,kast,jara,Kast → Jara,5.714285714285714
indignacion,indignacion,8,kast,jara,Kast → Jara,22.857142857142858
indignacion,ironia,10,kast,jara,Kast → Jara,28.571428571428573
indignacion,ninguna,4,kast,jara,Kast → Jara,11.428571428571429
ira,desprecio,1,kast,jara,Kast → Jara,50.0
ira,ironia,1,kast,jara,Kast → Jara,50.0
ironia,desprecio,2,kast,jara,Kast → Jara,10.0
ironia,indignacion,4,kast,jara,Kast → Jara,20.0
ironia,ironia,4,kast,jara,Kast → Jara,20.0
ironia,miedo,4,kast,jara,Kast → Jara,20.0
ironia,ninguna,6,kast,jara,Kast → Jara,30.0
miedo,desprecio,1,kast,jara,Kast → Jara,16.666666666666668
miedo,indignacion,2,kast,jara,Kast → Jara,33.333333333333336
miedo,ninguna,3,kast,jara,Kast → Jara,50.0
ninguna,desprecio,6,kast,jara,Kast → Jara,40.0
ninguna,indignacion,5,kast,jara,Kast → Jara,33.333333333333336
ninguna,ironia,2,kast,jara,Kast → Jara,13.333333333333334
ninguna,miedo,1,kast,jara,Kast → Jara,6.666666666666667
ninguna,ninguna,1,kast,jara,Kast → Jara,6.666666666666667
desprecio,desprecio,2,kaiser,kast,Kaiser → Kast,40.0
desprecio,esperanza,1,kaiser,kast,Kaiser → Kast,20.0
desprecio,indignacion,2,kaiser,kast,Kaiser → Kast,40.0
indignacion,desprecio,2,kaiser,kast,Kaiser → Kast,33.333333333333336
indignacion,indignacion,1,kaiser,kast,Kaiser → Kast,16.666666666666668
indignacion,ironia,1,kaiser,kast,Kaiser → Kast,16.666666666666668
indignacion,ninguna,2,kaiser,kast,Kaiser → Kast,33.333333333333336
ironia,desprecio,3,kaiser,kast,Kaiser → Kast,50.0
ironia,ironia,2,kaiser,kast,Kaiser → Kast,33.333333333333336
ironia,ninguna,1,kaiser,kast,Kaiser → Kast,16.666666666666668
miedo,ninguna,1,kaiser,kast,Kaiser → Kast,100.0
ninguna,alegria,1,kaiser,kast,Kaiser → Kast,20.0
ninguna,esperanza,1,kaiser,kast,Kaiser → Kast,20.0
ninguna,indignacion,2,kaiser,kast,Kaiser → Kast,40.0
ninguna,ninguna,1,kaiser,kast,Kaiser → Kast,20.0
desprecio,desprecio,3,kaiser,jara,Kaiser → Jara,75.0
desprecio,ironia,1,kaiser,jara,Kaiser → Jara,25.0
indignacion,desprecio,1,kaiser,jara,Kaiser → Jara,20.0
indignacion,indignacion,1,kaiser,jara,Kaiser → Jara,20.0
indignacion,ironia,2,kaiser,jara,Kaiser → Jara,40.0
indignacion,ninguna,1,kaiser,jara,Kaiser → Jara,20.0
ironia,alegria,1,kaiser,jara,Kaiser → Jara,20.0
ironia,desprecio,1,kaiser,jara,Kaiser → Jara,20.0
ironia,ironia,3,kaiser,jara,Kaiser → Jara,60.0
ninguna,desprecio,1,kaiser,jara,Kaiser → Jara,20.0
ninguna,indignacion,2,kaiser,jara,Kaiser → Jara,40.0
ninguna,miedo,2,kaiser,jara,Kaiser → Jara,40.0
desprecio,desprecio,4,matthei,kast,Matthei → Kast,57.142857142857146
desprecio,esperanza,1,matthei,kast,Matthei → Kast,14.285714285714286
desprecio,indignacion,2,matthei,kast,Matthei → Kast,28.571428571428573
indignacion,indignacion,1,matthei,kast,Matthei → Kast,50.0
indignacion,ironia,1,matthei,kast,Matthei → Kast,50.0
ironia,desprecio,2,matthei,kast,Matthei → Kast,33.333333333333336
ironia,indignacion,1,matthei,kast,Matthei → Kast,16.666666666666668
ironia,ironia,1,matthei,kast,Matthei → Kast,16.666666666666668
ironia,ninguna,2,matthei,kast,Matthei → Kast,33.333333333333336
miedo,ninguna,1,matthei,kast,Matthei → Kast,100.0
ninguna,desprecio,1,matthei,kast,Matthei → Kast,25.0
ninguna,indignacion,1,matthei,kast,Matthei → Kast,25.0
ninguna,ironia,1,matthei,kast,Matthei → Kast,25.0
ninguna,ninguna,1,matthei,kast,Matthei → Kast,25.0
desprecio,desprecio,2,matthei,jara,Matthei → Jara,40.0
desprecio,esperanza,1,matthei,jara,Matthei → Jara,20.0
desprecio,indignacion,1,matthei,jara,Matthei → Jara,20.0
desprecio,miedo,1,matthei,jara,Matthei → Jara,20.0
esperanza,indignacion,1,matthei,jara,Matthei → Jara,100.0
indignacion,indignacion,1,matthei,jara,Matthei → Jara,50.0
indignacion,ironia,1,matthei,jara,Matthei → Jara,50.0
ironia,ironia,2,matthei,jara,Matthei → Jara,40.0
ironia,miedo,1,matthei,jara,Matthei → Jara,20.0
ironia,ninguna,2,matthei,jara,Matthei → Jara,40.0
ninguna,indignacion,1,matthei,jara,Matthei → Jara,33.333333333333336
ninguna,ironia,1,matthei,jara,Matthei → Jara,33.333333333333336
ninguna,ninguna,1,matthei,jara,Matthei → Jara,33.333333333333336
alegria,indignacion,1,jara,kast,Jara → Kast,50.0
alegria,ninguna,1,jara,kast,Jara → Kast,50.0
desprecio,desprecio,16,jara,kast,Jara → Kast,42.10526315789474
desprecio,esperanza,2,jara,kast,Jara → Kast,5.2631578947368425
desprecio,indignacion,10,jara,kast,Jara → Kast,26.31578947368421
desprecio,ironia,6,jara,kast,Jara → Kast,15.789473684210526
desprecio,miedo,1,jara,kast,Jara → Kast,2.6315789473684212
desprecio,ninguna,3,jara,kast,Jara → Kast,7.894736842105263
error,esperanza,1,jara,kast,Jara → Kast,100.0
esperanza,desprecio,1,jara,kast,Jara → Kast,50.0
esperanza,indignacion,1,jara,kast,Jara → Kast,50.0
indignacion,desprecio,7,jara,kast,Jara → Kast,26.923076923076923
indignacion,indignacion,9,jara,kast,Jara → Kast,34.61538461538461
indignacion,ironia,6,jara,kast,Jara → Kast,23.076923076923077
indignacion,miedo,2,jara,kast,Jara → Kast,7.6923076923076925
indignacion,ninguna,2,jara,kast,Jara → Kast,7.6923076923076925
ironia,desprecio,8,jara,kast,Jara → Kast,38.095238095238095
ironia,indignacion,6,jara,kast,Jara → Kast,28.571428571428573
ironia,ironia,2,jara,kast,Jara → Kast,9.523809523809524
ironia,miedo,1,jara,kast,Jara → Kast,4.761904761904762
ironia,ninguna,4,jara,kast,Jara → Kast,19.047619047619047
miedo,indignacion,1,jara,kast,Jara → Kast,25.0
miedo,ironia,1,jara,kast,Jara → Kast,25.0
miedo,ninguna,2,jara,kast,Jara → Kast,50.0
ninguna,desprecio,5,jara,kast,Jara → Kast,25.0
ninguna,indignacion,7,jara,kast,Jara → Kast,35.0
ninguna,ironia,4,jara,kast,Jara → Kast,20.0
ninguna,miedo,1,jara,kast,Jara → Kast,5.0
ninguna,ninguna,3,jara,kast,Jara → Kast,15.0
