Par,Origen (posicionamiento),Destino (2.ª vuelta),n_autores,Porcentaje (sobre mismo origen)
Jara → Kaiser,Jara: NEGATIVO,Kaiser: NEGATIVO,6,60.0
Jara → Kaiser,Jara: NEGATIVO,Kaiser: NEUTRO,4,40.0
Jara → Kaiser,Jara: NEUTRO,Kaiser: NEGATIVO,4,50.0
Jara → Kaiser,Jara: NEUTRO,Kaiser: NEUTRO,3,37.5
Jara → Kaiser,Jara: NEUTRO,Kaiser: POSITIVO,1,12.5
Jara → Kaiser,Jara: POSITIVO,Kaiser: NEUTRO,1,100.0
Jara → Kast,Jara: NEGATIVO,Kast: NEGATIVO,62,92.5
Jara → Kast,Jara: NEGATIVO,Kast: NEUTRO,3,4.5
Jara → Kast,Jara: NEGATIVO,Kast: POSITIVO,2,3.0
Jara → Kast,Jara: NEUTRO,Kast: NEGATIVO,37,86.0
Jara → Kast,Jara: NEUTRO,Kast: NEUTRO,5,11.6
Jara → Kast,Jara: NEUTRO,Kast: POSITIVO,1,2.3
Jara → Kast,Jara: POSITIVO,Kast: NEGATIVO,4,100.0
Jara → Matthei,Jara: NEGATIVO,Matthei: NEGATIVO,6,50.0
Jara → Matthei,Jara: NEGATIVO,Matthei: NEUTRO,5,41.7
Jara → Matthei,Jara: NEGATIVO,Matthei: POSITIVO,1,8.3
Jara → Matthei,Jara: NEUTRO,Matthei: NEUTRO,2,66.7
Jara → Matthei,Jara: NEUTRO,Matthei: NEGATIVO,1,33.3
Jara → Matthei,Jara: POSITIVO,Matthei: POSITIVO,1,100.0
Kaiser → Jara,Kaiser: NEGATIVO,Jara: NEGATIVO,6,60.0
Kaiser → Jara,Kaiser: NEGATIVO,Jara: NEUTRO,3,30.0
Kaiser → Jara,Kaiser: NEGATIVO,Jara: POSITIVO,1,10.0
Kaiser → Jara,Kaiser: NEUTRO,Jara: NEGATIVO,5,83.3
Kaiser → Jara,Kaiser: NEUTRO,Jara: NEUTRO,1,16.7
Kaiser → Jara,Kaiser: POSITIVO,Jara: NEGATIVO,2,66.7
Kaiser → Jara,Kaiser: POSITIVO,Jara: NEUTRO,1,33.3
Kaiser → Kast,Kaiser: NEGATIVO,Kast: NEGATIVO,9,90.0
Kaiser → Kast,Kaiser: NEGATIVO,Kast: NEUTRO,1,10.0
Kaiser → Kast,Kaiser: NEUTRO,Kast: NEGATIVO,9,100.0
Kaiser → Kast,Kaiser: POSITIVO,Kast: NEGATIVO,3,75.0
Kaiser → Kast,Kaiser: POSITIVO,Kast: NEUTRO,1,25.0
Kaiser → Matthei,Kaiser: NEGATIVO,Matthei: NEUTRO,2,100.0
Kaiser → Matthei,Kaiser: NEUTRO,Matthei: NEUTRO,2,50.0
Kaiser → Matthei,Kaiser: NEUTRO,Matthei: NEGATIVO,1,25.0
Kaiser → Matthei,Kaiser: NEUTRO,Matthei: POSITIVO,1,25.0
Kaiser → Matthei,Kaiser: POSITIVO,Matthei: NEUTRO,1,50.0
Kaiser → Matthei,Kaiser: POSITIVO,Matthei: POSITIVO,1,50.0
Kast → Jara,Kast: NEGATIVO,Jara: NEGATIVO,57,63.3
Kast → Jara,Kast: NEGATIVO,Jara: NEUTRO,28,31.1
Kast → Jara,Kast: NEGATIVO,Jara: POSITIVO,5,5.6
Kast → Jara,Kast: NEUTRO,Jara: NEGATIVO,14,63.6
Kast → Jara,Kast: NEUTRO,Jara: NEUTRO,8,36.4
Kast → Jara,Kast: POSITIVO,Jara: NEGATIVO,2,100.0
Kast → Kaiser,Kast: NEGATIVO,Kaiser: NEGATIVO,9,47.4
Kast → Kaiser,Kast: NEGATIVO,Kaiser: NEUTRO,9,47.4
Kast → Kaiser,Kast: NEGATIVO,Kaiser: POSITIVO,1,5.3
Kast → Kaiser,Kast: NEUTRO,Kaiser: NEGATIVO,2,66.7
Kast → Kaiser,Kast: NEUTRO,Kaiser: NEUTRO,1,33.3
Kast → Kaiser,Kast: POSITIVO,Kaiser: NEUTRO,1,100.0
Kast → Matthei,Kast: NEGATIVO,Matthei: NEUTRO,8,47.1
Kast → Matthei,Kast: NEGATIVO,Matthei: NEGATIVO,7,41.2
Kast → Matthei,Kast: NEGATIVO,Matthei: POSITIVO,2,11.8
Kast → Matthei,Kast: NEUTRO,Matthei: NEUTRO,2,66.7
Kast → Matthei,Kast: NEUTRO,Matthei: NEGATIVO,1,33.3
Matthei → Jara,Matthei: NEGATIVO,Jara: NEGATIVO,3,60.0
Matthei → Jara,Matthei: NEGATIVO,Jara: NEUTRO,2,40.0
Matthei → Jara,Matthei: NEUTRO,Jara: NEGATIVO,6,60.0
Matthei → Jara,Matthei: NEUTRO,Jara: NEUTRO,3,30.0
Matthei → Jara,Matthei: NEUTRO,Jara: POSITIVO,1,10.0
Matthei → Jara,Matthei: POSITIVO,Jara: NEGATIVO,1,100.0
Matthei → Kaiser,Matthei: NEGATIVO,Kaiser: NEUTRO,2,66.7
Matthei → Kaiser,Matthei: NEGATIVO,Kaiser: NEGATIVO,1,33.3
Matthei → Kaiser,Matthei: NEUTRO,Kaiser: NEGATIVO,3,60.0
Matthei → Kaiser,Matthei: NEUTRO,Kaiser: NEUTRO,2,40.0
Matthei → Kast,Matthei: NEGATIVO,Kast: NEGATIVO,5,100.0
Matthei → Kast,Matthei: NEUTRO,Kast: NEGATIVO,12,85.7
Matthei → Kast,Matthei: NEUTRO,Kast: NEUTRO,2,14.3
Matthei → Kast,Matthei: POSITIVO,Kast: NEGATIVO,1,100.0
