Par,"Emoción grupo (hacia candidato origen, posicionamiento)",Destino (2.ª vuelta: hacia candidato destino),Probabilidad condicional (%)
Jara → Kast,hostilidad,Kast: hostilidad,71.2
Jara → Kast,hostilidad,Kast: ironía,20.3
Jara → Kast,hostilidad,Kast: miedo,5.1
Jara → Kast,hostilidad,Kast: positivo,3.4
Jara → Kast,ironía,Kast: hostilidad,82.4
Jara → Kast,ironía,Kast: ironía,11.8
Jara → Kast,ironía,Kast: miedo,5.9
Jara → Kast,miedo,Kast: hostilidad,50.0
Jara → Kast,miedo,Kast: ironía,50.0
Jara → Kast,otro,Kast: positivo,100.0
Jara → Kast,positivo,Kast: hostilidad,100.0
Kaiser → Jara,hostilidad,Jara: hostilidad,62.5
Kaiser → Jara,hostilidad,Jara: ironía,37.5
Kaiser → Jara,ironía,Jara: hostilidad,20.0
Kaiser → Jara,ironía,Jara: ironía,60.0
Kaiser → Jara,ironía,Jara: positivo,20.0
Kaiser → Kast,hostilidad,Kast: hostilidad,77.8
Kaiser → Kast,hostilidad,Kast: ironía,11.1
Kaiser → Kast,hostilidad,Kast: positivo,11.1
Kaiser → Kast,ironía,Kast: hostilidad,60.0
Kaiser → Kast,ironía,Kast: ironía,40.0
Kast → Jara,hostilidad,Jara: hostilidad,66.1
Kast → Jara,hostilidad,Jara: ironía,29.0
Kast → Jara,hostilidad,Jara: miedo,1.6
Kast → Jara,hostilidad,Jara: positivo,3.2
Kast → Jara,ironía,Jara: hostilidad,42.9
Kast → Jara,ironía,Jara: ironía,28.6
Kast → Jara,ironía,Jara: miedo,28.6
Kast → Jara,miedo,Jara: hostilidad,100.0
Matthei → Jara,hostilidad,Jara: hostilidad,57.1
Matthei → Jara,hostilidad,Jara: ironía,14.3
Matthei → Jara,hostilidad,Jara: miedo,14.3
Matthei → Jara,hostilidad,Jara: positivo,14.3
Matthei → Jara,ironía,Jara: ironía,66.7
Matthei → Jara,ironía,Jara: miedo,33.3
Matthei → Jara,positivo,Jara: hostilidad,100.0
Matthei → Kast,hostilidad,Kast: hostilidad,77.8
Matthei → Kast,hostilidad,Kast: ironía,11.1
Matthei → Kast,hostilidad,Kast: positivo,11.1
Matthei → Kast,ironía,Kast: hostilidad,75.0
Matthei → Kast,ironía,Kast: ironía,25.0
