candidato,semana,emocion_final,proporcion,emocion_lab
jara,2025-08-04,desprecio,0.26666666666666666,Desprecio
jara,2025-08-04,indignacion,0.35,Indignación
jara,2025-08-04,ironia,0.18333333333333332,Ironía
jara,2025-08-04,miedo,0.03333333333333333,Miedo
jara,2025-08-04,ninguna,0.16666666666666666,Ninguna
jara,2025-08-11,desprecio,0.2727272727272727,Desprecio
jara,2025-08-11,esperanza,0.06060606060606061,Esperanza
jara,2025-08-11,indignacion,0.18181818181818182,Indignación
jara,2025-08-11,ironia,0.24242424242424243,Ironía
jara,2025-08-11,miedo,0.06060606060606061,Miedo
jara,2025-08-11,ninguna,0.15151515151515152,Ninguna
jara,2025-08-18,desprecio,0.2786885245901639,Desprecio
jara,2025-08-18,esperanza,0.01639344262295082,Esperanza
jara,2025-08-18,indignacion,0.19672131147540983,Indignación
jara,2025-08-18,ira,0.01639344262295082,Ira
jara,2025-08-18,ironia,0.19672131147540983,Ironía
jara,2025-08-18,miedo,0.01639344262295082,Miedo
jara,2025-08-18,ninguna,0.2786885245901639,Ninguna
jara,2025-08-25,desprecio,0.3137254901960784,Desprecio
jara,2025-08-25,esperanza,0.0196078431372549,Esperanza
jara,2025-08-25,indignacion,0.3333333333333333,Indignación
jara,2025-08-25,ironia,0.19607843137254902,Ironía
jara,2025-08-25,miedo,0.0196078431372549,Miedo
jara,2025-08-25,ninguna,0.11764705882352941,Ninguna
jara,2025-09-01,desprecio,0.37735849056603776,Desprecio
jara,2025-09-01,esperanza,0.018867924528301886,Esperanza
jara,2025-09-01,indignacion,0.24528301886792453,Indignación
jara,2025-09-01,ira,0.018867924528301886,Ira
jara,2025-09-01,ironia,0.18867924528301888,Ironía
jara,2025-09-01,ninguna,0.11320754716981132,Ninguna
jara,2025-09-08,desprecio,0.2909090909090909,Desprecio
jara,2025-09-08,esperanza,0.05454545454545454,Esperanza
jara,2025-09-08,indignacion,0.2,Indignación
jara,2025-09-08,ira,0.02727272727272727,Ira
jara,2025-09-08,ironia,0.14545454545454545,Ironía
jara,2025-09-08,miedo,0.045454545454545456,Miedo
jara,2025-09-08,ninguna,0.21818181818181817,Ninguna
jara,2025-09-15,desprecio,0.32142857142857145,Desprecio
jara,2025-09-15,esperanza,0.03571428571428571,Esperanza
jara,2025-09-15,indignacion,0.35714285714285715,Indignación
jara,2025-09-15,ironia,0.07142857142857142,Ironía
jara,2025-09-15,ninguna,0.21428571428571427,Ninguna
jara,2025-09-22,desprecio,0.2962962962962963,Desprecio
jara,2025-09-22,indignacion,0.1111111111111111,Indignación
jara,2025-09-22,ironia,0.4074074074074074,Ironía
jara,2025-09-22,miedo,0.037037037037037035,Miedo
jara,2025-09-22,ninguna,0.14814814814814814,Ninguna
jara,2025-09-29,desprecio,0.35714285714285715,Desprecio
jara,2025-09-29,esperanza,0.047619047619047616,Esperanza
jara,2025-09-29,indignacion,0.19047619047619047,Indignación
jara,2025-09-29,ira,0.011904761904761904,Ira
jara,2025-09-29,ironia,0.17857142857142858,Ironía
jara,2025-09-29,miedo,0.07142857142857142,Miedo
jara,2025-09-29,ninguna,0.14285714285714285,Ninguna
jara,2025-10-06,desprecio,0.352112676056338,Desprecio
jara,2025-10-06,esperanza,0.028169014084507043,Esperanza
jara,2025-10-06,indignacion,0.18309859154929578,Indignación
jara,2025-10-06,ironia,0.18309859154929578,Ironía
jara,2025-10-06,miedo,0.028169014084507043,Miedo
jara,2025-10-06,ninguna,0.22535211267605634,Ninguna
jara,2025-10-13,desprecio,0.3194444444444444,Desprecio
jara,2025-10-13,esperanza,0.08333333333333333,Esperanza
jara,2025-10-13,indignacion,0.125,Indignación
jara,2025-10-13,ironia,0.20833333333333334,Ironía
jara,2025-10-13,ninguna,0.25,Ninguna
jara,2025-10-20,desprecio,0.390625,Desprecio
jara,2025-10-20,esperanza,0.041666666666666664,Esperanza
jara,2025-10-20,indignacion,0.19791666666666666,Indignación
jara,2025-10-20,ira,0.020833333333333332,Ira
jara,2025-10-20,ironia,0.16666666666666666,Ironía
jara,2025-10-20,miedo,0.041666666666666664,Miedo
jara,2025-10-20,ninguna,0.13541666666666666,Ninguna
jara,2025-10-27,desprecio,0.25,Desprecio
jara,2025-10-27,esperanza,0.015625,Esperanza
jara,2025-10-27,indignacion,0.3046875,Indignación
jara,2025-10-27,ira,0.015625,Ira
jara,2025-10-27,ironia,0.1328125,Ironía
jara,2025-10-27,miedo,0.0625,Miedo
jara,2025-10-27,ninguna,0.1953125,Ninguna
jara,2025-11-03,desprecio,0.37623762376237624,Desprecio
jara,2025-11-03,esperanza,0.039603960396039604,Esperanza
jara,2025-11-03,indignacion,0.1782178217821782,Indignación
jara,2025-11-03,ironia,0.1485148514851485,Ironía
jara,2025-11-03,miedo,0.0297029702970297,Miedo
jara,2025-11-03,ninguna,0.22772277227722773,Ninguna
jara,2025-11-10,desprecio,0.31533477321814257,Desprecio
jara,2025-11-10,esperanza,0.04967602591792657,Esperanza
jara,2025-11-10,indignacion,0.1857451403887689,Indignación
jara,2025-11-10,ira,0.0064794816414686825,Ira
jara,2025-11-10,ironia,0.1771058315334773,Ironía
jara,2025-11-10,miedo,0.06911447084233262,Miedo
jara,2025-11-10,ninguna,0.1857451403887689,Ninguna
jara,2025-11-17,desprecio,0.31985940246045697,Desprecio
jara,2025-11-17,esperanza,0.026362038664323375,Esperanza
jara,2025-11-17,indignacion,0.2179261862917399,Indignación
jara,2025-11-17,ira,0.014059753954305799,Ira
jara,2025-11-17,ironia,0.1546572934973638,Ironía
jara,2025-11-17,miedo,0.0351493848857645,Miedo
jara,2025-11-17,ninguna,0.2179261862917399,Ninguna
jara,2025-11-24,desprecio,0.32669322709163345,Desprecio
jara,2025-11-24,esperanza,0.00398406374501992,Esperanza
jara,2025-11-24,indignacion,0.22709163346613545,Indignación
jara,2025-11-24,ira,0.00398406374501992,Ira
jara,2025-11-24,ironia,0.1553784860557769,Ironía
jara,2025-11-24,miedo,0.07171314741035857,Miedo
jara,2025-11-24,ninguna,0.20318725099601595,Ninguna
jara,2025-12-01,desprecio,0.30327868852459017,Desprecio
jara,2025-12-01,esperanza,0.03278688524590164,Esperanza
jara,2025-12-01,indignacion,0.2540983606557377,Indignación
jara,2025-12-01,ira,0.012295081967213115,Ira
jara,2025-12-01,ironia,0.14754098360655737,Ironía
jara,2025-12-01,miedo,0.06557377049180328,Miedo
jara,2025-12-01,ninguna,0.18032786885245902,Ninguna
jara,2025-12-08,desprecio,0.2873900293255132,Desprecio
jara,2025-12-08,esperanza,0.020527859237536656,Esperanza
jara,2025-12-08,indignacion,0.2873900293255132,Indignación
jara,2025-12-08,ira,0.011730205278592375,Ira
jara,2025-12-08,ironia,0.15542521994134897,Ironía
jara,2025-12-08,miedo,0.04105571847507331,Miedo
jara,2025-12-08,ninguna,0.187683284457478,Ninguna
jara,2025-12-15,desprecio,0.40384615384615385,Desprecio
jara,2025-12-15,esperanza,0.009615384615384616,Esperanza
jara,2025-12-15,indignacion,0.28846153846153844,Indignación
jara,2025-12-15,ira,0.009615384615384616,Ira
jara,2025-12-15,ironia,0.125,Ironía
jara,2025-12-15,miedo,0.028846153846153848,Miedo
jara,2025-12-15,ninguna,0.10576923076923077,Ninguna
jara,2025-12-22,desprecio,0.5,Desprecio
jara,2025-12-22,esperanza,0.029411764705882353,Esperanza
jara,2025-12-22,indignacion,0.17647058823529413,Indignación
jara,2025-12-22,ironia,0.11764705882352941,Ironía
jara,2025-12-22,ninguna,0.17647058823529413,Ninguna
kaiser,2025-08-18,desprecio,0.6,Desprecio
kaiser,2025-08-18,ira,0.06666666666666667,Ira
kaiser,2025-08-18,ironia,0.26666666666666666,Ironía
kaiser,2025-08-18,ninguna,0.06666666666666667,Ninguna
kaiser,2025-08-25,desprecio,0.24,Desprecio
kaiser,2025-08-25,esperanza,0.04,Esperanza
kaiser,2025-08-25,indignacion,0.32,Indignación
kaiser,2025-08-25,ira,0.08,Ira
kaiser,2025-08-25,ironia,0.28,Ironía
kaiser,2025-08-25,ninguna,0.04,Ninguna
kaiser,2025-09-01,desprecio,0.13333333333333333,Desprecio
kaiser,2025-09-01,indignacion,0.13333333333333333,Indignación
kaiser,2025-09-01,ironia,0.3333333333333333,Ironía
kaiser,2025-09-01,miedo,0.06666666666666667,Miedo
kaiser,2025-09-01,ninguna,0.3333333333333333,Ninguna
kaiser,2025-09-08,desprecio,0.3125,Desprecio
kaiser,2025-09-08,esperanza,0.0625,Esperanza
kaiser,2025-09-08,indignacion,0.1875,Indignación
kaiser,2025-09-08,ironia,0.125,Ironía
kaiser,2025-09-08,miedo,0.03125,Miedo
kaiser,2025-09-08,ninguna,0.28125,Ninguna
kaiser,2025-09-22,desprecio,0.18181818181818182,Desprecio
kaiser,2025-09-22,indignacion,0.18181818181818182,Indignación
kaiser,2025-09-22,ira,0.045454545454545456,Ira
kaiser,2025-09-22,ironia,0.36363636363636365,Ironía
kaiser,2025-09-22,ninguna,0.22727272727272727,Ninguna
kaiser,2025-09-29,desprecio,0.4444444444444444,Desprecio
kaiser,2025-09-29,esperanza,0.05555555555555555,Esperanza
kaiser,2025-09-29,indignacion,0.2222222222222222,Indignación
kaiser,2025-09-29,ironia,0.1111111111111111,Ironía
kaiser,2025-09-29,miedo,0.05555555555555555,Miedo
kaiser,2025-09-29,ninguna,0.1111111111111111,Ninguna
kaiser,2025-10-06,desprecio,0.3125,Desprecio
kaiser,2025-10-06,esperanza,0.020833333333333332,Esperanza
kaiser,2025-10-06,indignacion,0.2708333333333333,Indignación
kaiser,2025-10-06,ira,0.020833333333333332,Ira
kaiser,2025-10-06,ironia,0.1875,Ironía
kaiser,2025-10-06,miedo,0.020833333333333332,Miedo
kaiser,2025-10-06,ninguna,0.16666666666666666,Ninguna
kaiser,2025-10-13,desprecio,0.3333333333333333,Desprecio
kaiser,2025-10-13,esperanza,0.06666666666666667,Esperanza
kaiser,2025-10-13,indignacion,0.03333333333333333,Indignación
kaiser,2025-10-13,ironia,0.26666666666666666,Ironía
kaiser,2025-10-13,miedo,0.03333333333333333,Miedo
kaiser,2025-10-13,ninguna,0.26666666666666666,Ninguna
kaiser,2025-10-20,desprecio,0.3409090909090909,Desprecio
kaiser,2025-10-20,esperanza,0.045454545454545456,Esperanza
kaiser,2025-10-20,indignacion,0.19318181818181818,Indignación
kaiser,2025-10-20,ira,0.011363636363636364,Ira
kaiser,2025-10-20,ironia,0.13636363636363635,Ironía
kaiser,2025-10-20,miedo,0.07954545454545454,Miedo
kaiser,2025-10-20,ninguna,0.1590909090909091,Ninguna
kaiser,2025-10-27,desprecio,0.33587786259541985,Desprecio
kaiser,2025-10-27,esperanza,0.022900763358778626,Esperanza
kaiser,2025-10-27,indignacion,0.22900763358778625,Indignación
kaiser,2025-10-27,ira,0.015267175572519083,Ira
kaiser,2025-10-27,ironia,0.15648854961832062,Ironía
kaiser,2025-10-27,miedo,0.07251908396946564,Miedo
kaiser,2025-10-27,ninguna,0.14885496183206107,Ninguna
kaiser,2025-11-03,desprecio,0.34934497816593885,Desprecio
kaiser,2025-11-03,esperanza,0.008733624454148471,Esperanza
kaiser,2025-11-03,indignacion,0.23580786026200873,Indignación
kaiser,2025-11-03,ira,0.021834061135371178,Ira
kaiser,2025-11-03,ironia,0.1703056768558952,Ironía
kaiser,2025-11-03,miedo,0.026200873362445413,Miedo
kaiser,2025-11-03,ninguna,0.17467248908296942,Ninguna
kaiser,2025-11-10,desprecio,0.32967032967032966,Desprecio
kaiser,2025-11-10,esperanza,0.03296703296703297,Esperanza
kaiser,2025-11-10,indignacion,0.1978021978021978,Indignación
kaiser,2025-11-10,ira,0.018315018315018316,Ira
kaiser,2025-11-10,ironia,0.1282051282051282,Ironía
kaiser,2025-11-10,miedo,0.07692307692307693,Miedo
kaiser,2025-11-10,ninguna,0.2087912087912088,Ninguna
kaiser,2025-11-17,desprecio,0.3246753246753247,Desprecio
kaiser,2025-11-17,indignacion,0.22077922077922077,Indignación
kaiser,2025-11-17,ira,0.012987012987012988,Ira
kaiser,2025-11-17,ironia,0.1038961038961039,Ironía
kaiser,2025-11-17,miedo,0.07792207792207792,Miedo
kaiser,2025-11-17,ninguna,0.2597402597402597,Ninguna
