candidato,cuadrante,n
jara,alto_karma_alta_pol,272
jara,alto_karma_baja_pol,1494
jara,bajo_karma_alta_pol,239
jara,bajo_karma_baja_pol,1081
kaiser,alto_karma_alta_pol,169
kaiser,alto_karma_baja_pol,563
kaiser,bajo_karma_alta_pol,137
kaiser,bajo_karma_baja_pol,440
kast,alto_karma_alta_pol,597
kast,alto_karma_baja_pol,2288
kast,bajo_karma_alta_pol,481
kast,bajo_karma_baja_pol,1687
matthei,alto_karma_alta_pol,65
matthei,alto_karma_baja_pol,425
matthei,bajo_karma_alta_pol,46
matthei,bajo_karma_baja_pol,267
