n_comentarios,polarizacion_media,pct_negativo,author_hash,emocion_dominante,candidato_mas_frecuente,candidato_principal,tipo_autor
2,0.275,1.0,u_55237c0174beb762,indignacion,"kast, jara",empate,recurrente
1,0.35,0.0,u_da2f19c5afa56187,indignacion,kast,kast,esporadico
1,0.3,0.0,u_0f6a5d87274390b4,ninguna,kast,kast,esporadico
1,0.25,0.0,u_aba8f938620a7f24,desprecio,jara,jara,esporadico
1,0.45,1.0,u_c639633aa84cc8b5,esperanza,"kaiser, matthei",empate,esporadico
1,0.65,1.0,u_d421f6656bad3148,desprecio,kaiser,kaiser,esporadico
3,0.5,0.6666666666666666,u_252823152d1851eb,desprecio,"kaiser, matthei",empate,recurrente
1,0.35,1.0,u_d5b6a23c8a220cc1,indignacion,"kast, jara",empate,esporadico
1,0.3,0.0,u_7260d7d9b7bc23d7,ninguna,"kast, jara",empate,esporadico
1,0.25,1.0,u_5a7657bef3fabfa8,indignacion,"kast, jara",empate,esporadico
2,0.475,1.0,u_9efa0fd4e3ff1f4a,desprecio,jara,jara,recurrente
5,0.27999999999999997,0.6,u_5c8353f54f5c4227,desprecio,jara,jara,recurrente
1,0.35,1.0,u_91cf23b1a6bd962d,indignacion,kast,kast,esporadico
1,0.6,0.0,u_bad75d67c915512b,desprecio,kast,kast,esporadico
6,0.5,0.5,u_5a723cd0818e2d7f,indignacion,kast,kast,activo
1,0.55,1.0,u_f10463cb025e9b72,ninguna,kast,kast,esporadico
1,0.4,0.0,u_971e35eabe06102a,desprecio,kast,kast,esporadico
2,0.3,0.5,u_2de01fde30c18987,indignacion,kast,kast,recurrente
1,0.6,1.0,u_5f8289ac6fbda78d,indignacion,kast,kast,esporadico
1,0.65,1.0,u_8ef694ac4e37b3ff,desprecio,kast,kast,esporadico
1,0.25,1.0,u_3f7e21d2319e013d,indignacion,"kast, jara",empate,esporadico
1,0.4,1.0,u_edd80b8b921b3a46,indignacion,kast,kast,esporadico
7,0.35714285714285715,0.7142857142857143,u_909a80a6b1ab8a8f,desprecio,jara,kast,activo
3,0.5333333333333333,1.0,u_5fa3dba2147e4197,desprecio,kast,kast,recurrente
6,0.4583333333333333,0.8333333333333334,u_146a5c0faa927dbc,desprecio,kast,kast,activo
19,0.41578947368421054,0.631578947368421,u_f9b922627e0de16e,indignacion,jara,jara,activo
2,0.525,1.0,u_71f17676e1b1203e,indignacion,kast,kast,recurrente
5,0.45999999999999996,0.6,u_a84eb1dcb69ea655,indignacion,kast,kast,recurrente
11,0.4727272727272727,0.8181818181818182,u_5930a45045d25b58,ironia,kast,empate,activo
1,0.2,0.0,u_414cfa050b63c906,ninguna,kast,kast,esporadico
1,0.25,1.0,u_9399b8ea73bae618,desprecio,"kast, kaiser, matthei, jara",empate,esporadico
2,0.4,0.5,u_9500c7e3e5aac701,esperanza,jara,jara,recurrente
5,0.27,0.6,u_f7650508d36dcdb1,desprecio,kast,kast,recurrente
2,0.375,0.0,u_b14b13b26e5cf2c9,desprecio,kaiser,kaiser,recurrente
6,0.4583333333333333,0.6666666666666666,u_8333f292d805ce67,indignacion,kast,kast,activo
1,0.5,1.0,u_2d724a3f3b3c1789,desprecio,kast,kast,esporadico
1,0.5,1.0,u_69e349422d24102b,indignacion,"kast, jara",empate,esporadico
1,0.15,0.0,u_7f6e0faad7fb6b64,ironia,kast,kast,esporadico
1,0.7,1.0,u_61e55b83195d3533,ira,kast,kast,esporadico
1,0.65,1.0,u_e9631dd27eb48fe0,indignacion,kast,kast,esporadico
2,0.44999999999999996,0.5,u_1cd38f55c7c50411,esperanza,kast,kast,recurrente
1,0.65,1.0,u_8057f51081090dc7,indignacion,"matthei, jara",empate,esporadico
1,0.35,1.0,u_707322b52ff62231,desprecio,jara,jara,esporadico
1,0.35,1.0,u_d92e205bb12b2210,ninguna,"kast, kaiser, matthei, jara",empate,esporadico
1,0.2,1.0,u_8f433e4582f2c117,indignacion,"kast, kaiser, jara",empate,esporadico
2,0.3,1.0,u_6274c83c1102d378,indignacion,kast,kast,recurrente
1,0.5,1.0,u_08c1d5c8f14cb7c5,desprecio,kast,kast,esporadico
1,0.8,1.0,u_d121e803a1aa1edf,indignacion,kast,kast,esporadico
2,0.4,1.0,u_0b1b8c954136b753,indignacion,kast,kast,recurrente
1,0.65,1.0,u_01769eadcc62f52c,indignacion,kast,kast,esporadico
10,0.375,0.7,u_fd016ffb79681150,ironia,kast,kast,activo
1,0.1,0.0,u_6fc6639c273188b1,ninguna,"kast, matthei",empate,esporadico
1,0.25,0.0,u_6c41ba7343c99dea,ironia,"kast, jara",empate,esporadico
1,0.45,1.0,u_fa7eb5307ac6d4e5,desprecio,kast,kast,esporadico
1,0.2,0.0,u_15cdd32111a89503,ironia,kast,kast,esporadico
1,0.45,1.0,u_476c5b40fd2766ef,indignacion,kast,kast,esporadico
2,0.44999999999999996,1.0,u_8ef80b43973ab5f9,desprecio,jara,empate,recurrente
2,0.4,0.5,u_7f621fe450d232ea,desprecio,jara,jara,recurrente
1,0.25,0.0,u_4225cc47cf0e146f,ninguna,kast,kast,esporadico
2,0.375,1.0,u_8f3e17780c54577e,desprecio,"kast, jara",kast,recurrente
1,0.25,0.0,u_d2d0c25505fa3a30,ironia,kast,kast,esporadico
6,0.4166666666666667,0.8333333333333334,u_4e7cc3f03762387e,desprecio,kast,kast,activo
1,0.55,1.0,u_513d31a71e412d91,desprecio,"kast, jara",empate,esporadico
1,0.6,1.0,u_58b2c81357e531a2,ironia,kast,kast,esporadico
1,0.35,1.0,u_0461a2cfb64888c0,indignacion,kast,kast,esporadico
1,0.25,0.0,u_82fb796757554a4a,desprecio,"kast, jara",empate,esporadico
1,0.55,1.0,u_5c850afab36620f2,desprecio,jara,jara,esporadico
3,0.2833333333333334,0.0,u_ab1f4ca07c22fcaa,ironia,kast,kast,recurrente
2,0.575,1.0,u_ce7c008c0629215e,indignacion,kast,kast,recurrente
1,0.5,1.0,u_c97958f23b2a3ce5,indignacion,kast,kast,esporadico
3,0.35000000000000003,1.0,u_b61a1a8d5d460d1c,desprecio,jara,kast,recurrente
1,0.5,0.0,u_5b5b953d14a96d50,esperanza,kast,kast,esporadico
1,0.2,0.0,u_c464fb44b288d458,desprecio,jara,jara,esporadico
3,0.5,0.6666666666666666,u_1fc749126060749b,indignacion,kast,kast,recurrente
1,0.7,1.0,u_d61ed0e21f1e8136,desprecio,jara,jara,esporadico
5,0.35,0.6,u_877ed42afcd27df9,desprecio,kast,kast,recurrente
2,0.575,1.0,u_919a28e402713aac,indignacion,kaiser,empate,recurrente
1,0.35,1.0,u_c5f108246c68c1d4,ironia,kast,kast,esporadico
7,0.45,0.5714285714285714,u_ba66cd9f122f0910,desprecio,kaiser,kast,activo
1,0.55,1.0,u_eace791aab6df831,indignacion,"kast, kaiser, jara",empate,esporadico
4,0.5,0.25,u_683c45b967402a8a,ira,kast,kast,recurrente
5,0.52,0.8,u_63bebc7d7c3cceb7,desprecio,jara,empate,recurrente
1,0.4,1.0,u_1e8c374a31bb3665,ninguna,kast,kast,esporadico
1,0.65,1.0,u_a2eebc7acf8d6220,desprecio,jara,jara,esporadico
1,0.6,1.0,u_75a0581f62862929,desprecio,matthei,matthei,esporadico
2,0.32499999999999996,0.0,u_bfbc39e397d4b8f1,ironia,jara,empate,recurrente
2,0.3,0.0,u_1555c3faaeb440c8,ironia,kast,kast,recurrente
1,0.35,1.0,u_ff43884203fdf069,desprecio,"kast, jara",empate,esporadico
1,0.5,1.0,u_e471534adf112a38,desprecio,"kast, kaiser, matthei",empate,esporadico
1,0.65,1.0,u_0e30a2e1eed5f59c,desprecio,kast,kast,esporadico
36,0.4708333333333333,0.8055555555555556,u_7f5284296d0025fb,desprecio,kast,kast,hiperactivo
1,0.4,1.0,u_d8f4f4def88474a8,ironia,kast,kast,esporadico
1,0.2,1.0,u_cfc4b4b01fa678c3,ninguna,"kast, matthei",empate,esporadico
1,0.45,1.0,u_7d361649605c5169,desprecio,kast,kast,esporadico
2,0.6499999999999999,1.0,u_cd47b9b42a5d6ab1,indignacion,kast,kast,recurrente
1,0.35,1.0,u_b226469f1038a733,ninguna,"kast, jara",empate,esporadico
1,0.2,0.0,u_360ed4e75faeb66d,ninguna,jara,jara,esporadico
1,0.45,0.0,u_687d819b7a48a401,desprecio,kast,kast,esporadico
3,0.5333333333333333,1.0,u_df51fc2e990051d1,desprecio,jara,jara,recurrente
6,0.44166666666666665,0.6666666666666666,u_a2164e6ba34f0064,desprecio,kast,kast,activo
5,0.39,0.8,u_4d49a67e4f9286f9,ironia,"kast, jara",empate,recurrente
3,0.4166666666666667,0.6666666666666666,u_3b21144fc86a3cbb,desprecio,kast,kast,recurrente
4,0.4375,0.75,u_2e3b7c787ba4915c,ninguna,jara,empate,recurrente
2,0.625,1.0,u_b69db4d8a4e72a24,desprecio,"kast, jara",empate,recurrente
2,0.275,0.5,u_b3e31f7bee93eeed,ironia,jara,empate,recurrente
1,0.45,1.0,u_922c6e7aa7268756,desprecio,kast,kast,esporadico
1,0.1,0.0,u_f5ed89aba41d569c,ninguna,kast,kast,esporadico
1,0.25,0.0,u_26d4f6f1221ffe8b,ninguna,"kast, jara",empate,esporadico
6,0.4083333333333334,0.6666666666666666,u_04e657824eedc39d,desprecio,kast,kast,activo
21,0.4,0.6666666666666666,u_8c35b33b4c4adf08,desprecio,kast,kast,hiperactivo
1,0.2,0.0,u_924fcb2f0b6ae1b2,ninguna,kast,kast,esporadico
1,0.5,1.0,u_911cd05a4115cb92,indignacion,jara,jara,esporadico
3,0.5,1.0,u_829497797dc63123,ironia,kast,kast,recurrente
4,0.35,0.5,u_e1bbeb9885c2bb88,ninguna,kast,kast,recurrente
1,0.4,0.0,u_9d8900d107dd6e80,desprecio,kast,kast,esporadico
1,0.25,0.0,u_3b851a6efb0da7b4,ninguna,jara,jara,esporadico
2,0.25,0.5,u_bbef46bef25fcba4,miedo,kast,kast,recurrente
1,0.3,0.0,u_30d74ecec589e29c,desprecio,matthei,matthei,esporadico
1,0.55,1.0,u_a049eeb3e5be8e52,ironia,kast,kast,esporadico
1,0.3,1.0,u_360d066316949587,indignacion,"kast, jara",empate,esporadico
1,0.6,1.0,u_da60eecfcc282467,desprecio,kast,kast,esporadico
2,0.4,1.0,u_91ccedab4dce2f62,desprecio,kast,kast,recurrente
1,0.2,0.0,u_a6309beeadd516fe,ironia,kast,kast,esporadico
4,0.325,0.5,u_e158cb1a1698e045,ironia,kast,kast,recurrente
1,0.25,0.0,u_23bbb6eff0e3a3d3,ninguna,kast,kast,esporadico
1,0.5,1.0,u_08d7f54c4a9b0a4a,ironia,kast,kast,esporadico
5,0.32999999999999996,0.4,u_637172e6be7b47ef,indignacion,jara,jara,recurrente
1,0.5,1.0,u_586c6cceea9bc4a1,indignacion,kast,kast,esporadico
1,0.3,0.0,u_b1ddd6f24e6d910b,ninguna,kast,kast,esporadico
2,0.275,0.5,u_514bf013c1b623c5,indignacion,kast,kast,recurrente
1,0.25,1.0,u_116a1af80397e85b,desprecio,"kast, kaiser, matthei, jara",empate,esporadico
2,0.35,0.5,u_936e9509e45a3002,indignacion,kast,kast,recurrente
1,0.55,1.0,u_da251b662a063997,desprecio,"kast, kaiser, jara",empate,esporadico
4,0.5375,0.75,u_497face775e4d7e8,desprecio,kast,kast,recurrente
1,0.35,0.0,u_d7c63ea33bba758d,ironia,"kast, jara",empate,esporadico
1,0.45,1.0,u_b3011f82a5897c70,alegria,"kast, jara",empate,esporadico
1,0.2,0.0,u_4b323f58632ae884,ninguna,kast,kast,esporadico
1,0.65,1.0,u_9ec0fdb7ddf0c6f1,indignacion,"kast, kaiser",empate,esporadico
1,0.65,1.0,u_2f9fac8f445869d3,desprecio,matthei,matthei,esporadico
1,0.55,1.0,u_897178dc3f9b64f3,desprecio,kast,kast,esporadico
1,0.5,1.0,u_4a7fe31430dc9278,ironia,kast,kast,esporadico
1,0.45,1.0,u_51a41841b5b5018e,desprecio,jara,jara,esporadico
1,0.65,1.0,u_27b8476623320737,desprecio,jara,jara,esporadico
2,0.15000000000000002,0.0,u_5ddf7b6bccec5975,ninguna,kast,empate,recurrente
1,0.4,1.0,u_f3a64881c8479eb1,indignacion,kast,kast,esporadico
1,0.35,1.0,u_a0e08d16db204b8c,desprecio,"kast, jara",empate,esporadico
1,0.35,0.0,u_c188d5a71c8ff5e9,ninguna,kast,kast,esporadico
5,0.52,1.0,u_4a6b2224c3b08bfa,ninguna,kast,kast,recurrente
