post_id,candidato,tema,polarizacion_consenso,x3d,y3d,z3d
1pmr1xp,kast,moral,0.275,-0.03256109423909019,0.20913357603628224,-0.04559549452315244
1oz1h4a,kast,campana_electoral,0.2,-0.011011387137060121,-0.029196640181022308,-0.009522070149921881
1pi93hd,kast,identidad,0.3,-0.0005902507050503693,0.10652067987321705,-0.02254654780119364
1p513g2,kast,democracia,0.15,0.03405709765290367,-0.015471770596447582,0.05392667805697743
1oz1hf1,kast,economia,0.3,-0.038363127746168915,-0.03552626100613996,-0.013263266427292902
1p89unk,kast,democracia,0.5,-0.04035780979268946,-0.024894200359891965,-0.0024464939247356193
1od9th6,kast,identidad,0.504,-0.03707664100575115,0.14721536898618987,-0.014179874317663023
1p85nwp,kast,seguridad,0.25,-0.025428378161634374,-0.022246115583029608,-0.0005064747566210902
1pkzyp1,kast,democracia,0.5,-0.006338750116488684,0.06002759872383284,-0.004099178976975246
1ozr3vo,kast,economia,0.6075,-0.03910311299169221,-0.02611291159040794,-0.022415872827976552
1pofmm1,kast,democracia,0.4,-0.03301839641835116,0.10321718116538524,-0.02375054839655173
1pe2hi2,kast,campana_electoral,0.25,-0.005094578757471071,-0.0090509904007939,-0.012048501821915393
1pmrg54,kast,pinochet_ddhh,0.6,-0.028556792731596847,-0.026739986529781115,0.012958249816501668
1p89unk,kast,campana_electoral,0.15,-0.018757774753229192,-0.017828361987895773,0.014949489946415588
1nm083d,kast,economia,0.7,-0.040187311889657705,-0.02994785076706353,-0.00808076495352734
1ozr3vo,kast,economia,0.6075,-0.02533286059991615,-0.02969889331905248,-0.0016038356613115434
1pnfam0,kast,seguridad,0.55,0.03362340935724989,-0.002415962900237486,-0.08072844495254328
1oz2m6o,kast,venezuela_latam,0.5,-0.02288576954111495,-0.03545963136918923,0.006399419530223114
1p2z4yu,kast,seguridad,0.65,-0.0391993449461169,-3.7293937208721095e-05,-0.024928175040895416
1p1mx6e,kast,campana_electoral,0.45,-0.04822882864435232,-0.045076772771722805,-0.014263666319934289
1pkzyp1,kast,campana_electoral,0.55,-0.04014129300693928,-0.027170784585172053,-0.02061889104290286
1p7d91f,kast,campana_electoral,0.4,-0.03340734557372813,-0.02529761809681537,-0.026107266634849035
1p16rvs,kast,venezuela_latam,0.2,-0.03549913182513781,-0.032355872490622065,-0.0025804438343871436
1ocxx6v,kast,campana_electoral,0.55,-0.0420383771067897,-0.024734121624084435,-0.02247466893879387
1o5t5pd,kast,pinochet_ddhh,0.55,-0.02059590593485163,-0.02495744912663612,0.008757569011042785
1oz2m6o,kast,seguridad,0.55,-0.035554203497296155,-0.02157286487741275,-0.005675759359837367
1p1hfm1,kast,identidad,0.4,-0.012916781767482996,0.09056167137522653,-0.013245839037897222
1n9gm4a,kast,identidad,0.6,-0.005046652251019142,0.06775547374663866,-0.013632174014778021
1p513g2,kast,democracia,0.1,-0.0013625018658031604,-0.03493513121032075,0.010141187731327248
1pirpul,kast,medios_fakenews,0.25,-0.010725339782743325,-0.013854048106793698,0.014646131120361354
1pfpu19,kast,identidad,0.405,-0.015381810194652602,0.07843544116358335,-0.051683340495291004
1mu4a7p,kast,identidad,0.25,0.00032945034343910204,0.11480474825782329,-0.004839249483033683
1mj42es,kast,democracia,0.3375,-0.036153861414148766,-0.013595086210082163,-0.006311614360530456
1punlh3,kast,economia,0.25,-0.022158098758960743,-0.022690745226472145,-0.014423480259999826
1ojbctk,kast,identidad,0.3,-0.01609880500818396,0.18630989757192729,-0.023240215064846442
1p51bbn,kast,campana_electoral,0.15,-0.02841369774131778,-0.026944926437760204,-0.024811845854942855
1pm4fyp,kast,campana_electoral,0.45,0.03287859784744103,0.004511129873743278,0.057476670917379034
1p685ly,kast,democracia,0.25,-0.005621316611190155,-0.027830493594075453,0.018177268576770943
1ptso35,kast,campana_electoral,0.5,-0.10275872947963226,-0.012494228306632986,-0.14028922474603914
1ozr3vo,kast,identidad,0.65,-0.027915535538058,-0.011853584677521137,-0.020932945678364897
1pirq5c,kast,identidad,0.45,-0.030704697276419033,-0.014840699242069025,0.007281362143610318
1panv89,kast,democracia,0.45,-0.03514471429937527,-0.01728925909757572,-0.005774002393389783
1pmve6s,kast,economia,0.2,0.005537666241949575,0.0182871651638755,0.005227962825377221
1oysbv9,kast,democracia,0.15,-0.03582193991879714,0.08272297808869006,-0.03155969156266093
1n0vi3v,kast,economia,0.5,-0.034500929274445646,-0.035906749541645085,-0.008180121198436108
1pamnhx,kast,identidad,0.3,-0.028002811363636068,0.0025032637044306617,0.014240888673794739
1pk643n,kast,migracion,0.65,-0.07987451744176007,-0.15750947375398847,-0.02657477787543422
1pfc0v6,kast,economia,0.5,-0.03584859440258757,-0.022556825754414245,-0.01127129189639192
1p93d1j,kast,democracia,0.6,-0.014393666011909003,-0.030678630054666454,0.021108449757673082
1odasqj,kast,democracia,0.25,-0.0076981682498261355,-0.022347826102775085,-0.03451700265995614
1mzcsnh,kast,medios_fakenews,0.3,-0.035870644402583404,-0.015884383955785904,-0.0008619755961329638
1p85nwp,kast,migracion,0.54,-0.02279488172872233,-0.006451391330272577,-0.020710693769929362
1p685ly,kast,democracia,0.2,-0.014879574137046428,-0.046924338656979925,-0.01355471081453878
1panv89,kast,economia,0.5,-0.03686605915617865,-0.029092350906957203,-0.00872297172407141
1p685ly,kast,democracia,0.4,0.08385012489528428,-0.03560453859182163,-0.06580592108128064
1n68ebj,kast,economia,0.3,-0.03040968524574144,-0.03148253335169559,0.008511592680200311
1pjvw2h,kast,medios_fakenews,0.2,-0.02761582551774943,-0.027202916252171513,-0.001736196954091422
1qi3nw6,kast,campana_electoral,0.5,-0.017649881274840403,-0.02650018077422751,0.011513507178799853
1p1ciuo,kast,migracion,0.5,-0.02127041024678272,-0.03282601495901126,-0.0015026516495519455
1ofv31w,kast,democracia,0.6,0.08369977343008238,-0.04013768180128672,-0.03810264911015547
1podogf,kast,religion_valvores,0.25,-0.02881823540006638,-0.02974270186941892,2.11908160108556e-06
1pim245,kast,migracion,0.5,-0.03026509709677354,-0.04073778590101768,-0.00026326740282052517
1pirz1b,kast,campana_electoral,0.55,-0.0275444919767081,-0.02843540184345346,-0.001126392681845462
1ov4fyd,kast,campana_electoral,0.3,-0.02483757531974648,-0.028796425641934815,-0.008275271263985848
1pmrg54,kast,seguridad,0.2,-0.011200984373146872,-0.023761831137225683,0.0036581982463752397
