post_id,candidato,tema,polarizacion_consenso,umap_x,umap_y
1pmr1xp,kast,moral,0.275,-0.704406,-2.1108713
1oz1h4a,kast,campana_electoral,0.2,-6.0599976,3.9046822
1pi93hd,kast,identidad,0.3,3.3011448,1.60406
1p513g2,kast,democracia,0.15,2.6974277,0.9995658
1oz1hf1,kast,economia,0.3,3.340587,-2.1292212
1p89unk,kast,democracia,0.5,-1.4296573,3.0440347
1od9th6,kast,identidad,0.504,-0.07368375,-1.0020276
1p85nwp,kast,seguridad,0.25,-0.46226773,3.928161
1pkzyp1,kast,democracia,0.5,-2.187252,-2.4689767
1ozr3vo,kast,economia,0.6075,-2.3095782,2.4753447
1pofmm1,kast,democracia,0.4,2.6219573,2.9003258
1pe2hi2,kast,campana_electoral,0.25,-3.8047247,-0.8104816
1pmrg54,kast,pinochet_ddhh,0.6,3.388236,-2.2017493
1p89unk,kast,campana_electoral,0.15,2.0185254,1.5797414
1nm083d,kast,economia,0.7,0.17123872,4.723561
1ozr3vo,kast,economia,0.6075,0.25987035,4.416048
1pnfam0,kast,seguridad,0.55,-1.4178879,0.23517503
1oz2m6o,kast,venezuela_latam,0.5,3.4146123,0.5245585
1p2z4yu,kast,seguridad,0.65,-2.893792,-0.6769372
1p1mx6e,kast,campana_electoral,0.45,-2.054183,11.439722
1pkzyp1,kast,campana_electoral,0.55,0.81613475,3.7717645
1p7d91f,kast,campana_electoral,0.4,-1.1575927,-0.09691766
1p16rvs,kast,venezuela_latam,0.2,-0.10353449,5.5821276
1ocxx6v,kast,campana_electoral,0.55,-0.41263416,2.571827
1o5t5pd,kast,pinochet_ddhh,0.55,0.968374,-1.665072
1oz2m6o,kast,seguridad,0.55,1.0435477,0.8417019
1p1hfm1,kast,identidad,0.4,-2.268199,-2.6043668
1n9gm4a,kast,identidad,0.6,2.235373,-0.85983974
1p513g2,kast,democracia,0.1,-6.7443433,6.612876
1pirpul,kast,medios_fakenews,0.25,2.0627344,1.6202112
