term,ratio_score,grupo
ctm,13.577172346143508,alta
culiao,13.021472083911508,alta
qlo,12.31846875146077,alta
viejo,12.098333381998017,alta
weón,11.982425323924616,alta
puros,11.796608591121737,alta
qliao,11.738440666744335,alta
imagínate,11.646837538840797,alta
flojo,11.568712417482448,alta
cagar,11.531836459307657,alta
aweonaos,11.515061246243336,alta
romper,11.386725617038705,alta
mentiroso,11.334768171628548,alta
jajajaj,11.334359417538092,alta
bandera,11.300405007650136,alta
encuesta,-12.302711674560511,baja
porcentaje,-11.116102391883729,baja
apuestas,-10.879532967298271,baja
cuál,-10.830811967251076,baja
formas,-10.707081192619317,baja
2da,-10.705411233849945,baja
19,-10.664331320962976,baja
gustaría,-10.656184221232058,baja
26,-10.624650152242136,baja
emol,-10.616019185273862,baja
error,-10.561689008805825,baja
conservadora,-10.556867630415564,baja
harold,-10.55478433323782,baja
socialista,-10.500968264280239,baja
polymarket,-10.49368276367648,baja
