,precision,recall,f1-score,support
alegria,1.0,0.05555555555555555,0.10526315789473684,18.0
desprecio,0.6441717791411042,0.5048076923076923,0.5660377358490566,624.0
esperanza,0.5609756097560976,0.5,0.5287356321839081,46.0
indignacion,0.5105421686746988,0.6975308641975309,0.5895652173913043,486.0
ira,0.16666666666666666,0.03333333333333333,0.05555555555555555,30.0
ironia,0.6216931216931217,0.6582633053221288,0.6394557823129252,357.0
miedo,0.5894736842105263,0.49557522123893805,0.5384615384615384,113.0
accuracy,0.5794504181600956,0.5794504181600956,0.5794504181600956,0.5794504181600956
macro avg,0.5847890043060308,0.42072371027931127,0.43186780280700354,1674.0
weighted avg,0.5898724808655718,0.5794504181600956,0.5715360534904929,1674.0
