feature,mean_abs_shap,std_abs_shap
cat__estrategia_final_ninguna,0.04760307421655473,0.04846412651345746
cat__tipo_hilo_mixto,0.044893482058239086,0.024163324009432302
num__n_words,0.032816502409053,0.023479586912785125
cat__emocion_final_desprecio,0.015919427599430516,0.01052994996582884
num__comment_score,0.01385088167223744,0.011986897816464469
num__n_chars,0.012465625852731178,0.011149224343580592
cat__marco_final_moral,0.011783014158338592,0.011700973051583184
cat__emocion_final_ira,0.010011066841538682,0.038389255038064556
cat__emocion_final_ironia,0.00988345260823825,0.010909929753472554
cat__marco_final_otro,0.007884234159630101,0.013037501594115406
cat__estrategia_final_ridiculizacion,0.0069221474331391045,0.005401726383555371
cat__tipo_hilo_solo_derecha_multiple,0.006796331368228403,0.011223415795849326
cat__emocion_final_indignacion,0.006785277814185888,0.005819277272644496
cat__marco_final_diagnostico,0.004793793183233666,0.005681892284035081
cat__frontera_final_ninguna,0.004302537697169711,0.005672956905420549
cat__estrategia_final_deslegitimacion,0.0038121289146600514,0.0036818457665314555
cat__marco_final_conflicto,0.0037700265261040792,0.004310164239392963
cat__emocion_final_ninguna,0.0036352675734128044,0.004068798784716859
cat__frontera_final_inter_bloque,0.0022453339901205398,0.002032867967998557
cat__fase_segunda_vuelta,0.0022447583490528777,0.00218683185714204
