coeficiente,coef,ci_low,ci_high,p_value,signif_05,marca,n_obs,r2_adj,f_stat
Intercept,0.2702897068814405,0.24966729392939885,0.29091211983348214,4.1210418400386414e-141,True,*,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.ERROR]",0.029210750708054393,-0.00950897020959892,0.0679304716257077,0.13922406017577685,False,,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.conflicto]",-0.022452947447828005,-0.03321723278983724,-0.011688662105818776,4.370769351584961e-05,True,*,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.diagnostico]",-0.03471398114151053,-0.04595607420730722,-0.02347188807571384,1.4734458157787395e-09,True,*,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.economico]",-0.0367888397865395,-0.058177863192651086,-0.015399816380427905,0.0007503402396243728,True,*,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.identitario]",-0.05350728361367048,-0.06880930492581261,-0.03820526230152835,7.5793839118433e-12,True,*,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.moral]",0.028490555429197692,0.016621769304392763,0.04035934155400262,2.5672685838814505e-06,True,*,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.motivacional]",-0.018692527033345646,-0.04145955002113488,0.004074495954443591,0.10756197439941324,False,,10251,0.3233165037462592,158.9808553346465
"C(marco_final, Treatment('otro'))[T.pronostico]",0.005511538923817089,-0.01140936462083983,0.022432442468474006,0.5231740809824907,False,,10251,0.3233165037462592,158.9808553346465
"C(emocion_final, Treatment('ninguna'))[T.ERROR]",0.029210750708053703,-0.00950897020959925,0.06793047162570666,0.1392240601757825,False,,10251,0.3233165037462592,158.9808553346465
"C(emocion_final, Treatment('ninguna'))[T.alegria]",0.02041840532270681,-0.01382378313636334,0.054660593781776956,0.24249018749991214,False,,10251,0.3233165037462592,158.9808553346465
"C(emocion_final, Treatment('ninguna'))[T.desprecio]",0.09799123563491921,0.08630182973812729,0.10968064153171113,6.58319796318758e-60,True,*,10251,0.3233165037462592,158.9808553346465
"C(emocion_final, Treatment('ninguna'))[T.esperanza]",0.006525960725028,-0.015732974596679716,0.028784896046735717,0.5655082871370878,False,,10251,0.3233165037462592,158.9808553346465
