term,score,candidato
más,0.020340949310635206,kast
gente,0.013891729044505027,kast
derecha,0.013065585058668823,kast
yo,0.012873041984907359,kast
chile,0.011808833909614161,kast
boric,0.011757207135563913,kast
gobierno,0.01164802439770924,kast
izquierda,0.011012835519797324,kast
está,0.01028848568375137,kast
mismo,0.009997496659208332,kast
igual,0.009876602902303558,kast
hacer,0.00954324747115624,kast
menos,0.00943046944520333,kast
años,0.00913093689642863,kast
votar,0.00880180343853213,kast
creo,0.0087424377376149,kast
qué,0.008728822914174861,kast
wea,0.008635661969813198,kast
tan,0.008509328574786992,kast
así,0.008309160199396358,kast
hace,0.008200801280466699,kast
puede,0.007599822841482471,kast
decir,0.007467196042970173,kast
mejor,0.007298662510938644,kast
voto,0.007168290057791495,kast
más,0.02819382543219033,kaiser
derecha,0.01891494630133576,kaiser
gente,0.016360546794837425,kaiser
está,0.015707339701883993,kaiser
votar,0.015224306100329908,kaiser
izquierda,0.0131723967190219,kaiser
mismo,0.013097577108818806,kaiser
yo,0.013054124944769917,kaiser
chile,0.013006608568609261,kaiser
parisi,0.012222938617722121,kaiser
creo,0.011945733247369847,kaiser
vuelta,0.011572501920065488,kaiser
menos,0.01155282911510493,kaiser
voto,0.011418008672284497,kaiser
así,0.011402390838918603,kaiser
boric,0.011318075772575625,kaiser
años,0.011256577607249756,kaiser
hace,0.011013247976365634,kaiser
tan,0.010871497169107572,kaiser
hacer,0.010332152027797468,kaiser
puede,0.009799838903207812,kaiser
igual,0.00979104340453477,kaiser
wea,0.009767443049887515,kaiser
país,0.009393816807168297,kaiser
qué,0.009015504967080043,kaiser
más,0.03303809865969628,matthei
derecha,0.026938331734865862,matthei
gente,0.021514902757914674,matthei
votar,0.020791798908003166,matthei
izquierda,0.019559975917532637,matthei
mismo,0.019395372387018238,matthei
yo,0.019232082369309123,matthei
parisi,0.018820744728473674,matthei
menos,0.017320437976549717,matthei
voto,0.01729616220883305,matthei
vuelta,0.0167108408066167,matthei
mejor,0.015986902524861176,matthei
está,0.01598060810461428,matthei
creo,0.015127554286396887,matthei
chile,0.014189467138675426,matthei
wea,0.013928413178108454,matthei
candidato,0.0135478135122172,matthei
hace,0.013046994897294679,matthei
centro,0.012827862471787611,matthei
igual,0.012742160620806037,matthei
tan,0.01263768088012254,matthei
gobierno,0.012594143472666419,matthei
segunda,0.01208055702480174,matthei
encuestas,0.011998196666774003,matthei
https,0.011972041549811139,matthei
más,0.023486227918011634,jara
comunista,0.014574606606043497,jara
gente,0.014548692506636571,jara
izquierda,0.014415418111969353,jara
derecha,0.014150411250631968,jara
yo,0.013515433316147112,jara
votar,0.012832798126549678,jara
está,0.012831609015850176,jara
gobierno,0.012468499500028193,jara
mismo,0.011632989188483713,jara
chile,0.011551286984801063,jara
parisi,0.011379967300747175,jara
boric,0.011119951622439868,jara
creo,0.010455056339822098,jara
igual,0.010324685647925788,jara
menos,0.010155682301795324,jara
hacer,0.010131504526814468,jara
vuelta,0.010027011693992642,jara
qué,0.009609050832652254,jara
wea,0.00960002915209567,jara
partido,0.009322799993459599,jara
hace,0.009238707500189245,jara
pc,0.009192603065577868,jara
mejor,0.009054372320064464,jara
decir,0.008790364519185214,jara
