estrategia,rank,term,coef
atribucion_oculta,1,conviene,2.978986153316043
atribucion_oculta,2,negocio,2.679563103496751
atribucion_oculta,3,quieran,2.292503501733718
atribucion_oculta,4,interés,2.249414296054774
atribucion_oculta,5,quieren,2.2337094705520957
atribucion_oculta,6,bots,2.1558571147227132
atribucion_oculta,7,parisi,2.126483279908913
atribucion_oculta,8,dijo,2.1055227348088654
atribucion_oculta,9,sueño,2.07139765756352
atribucion_oculta,10,medios,2.063119362440332
atribucion_oculta,11,darle,2.060528472448552
atribucion_oculta,12,campaña,1.851704360263365
atribucion_oculta,13,estallido,1.8178461380341442
atribucion_oculta,14,conspiración,1.7357770499609022
atribucion_oculta,15,loh,1.7340627781332927
construccion_amenaza,1,derechos,2.2691936375820463
construccion_amenaza,2,matar,2.1778094960194845
construccion_amenaza,3,miedo,2.164907881386999
construccion_amenaza,4,varios,1.7833988702468377
construccion_amenaza,5,peligro,1.7372031474874368
construccion_amenaza,6,pasar,1.610225109140463
construccion_amenaza,7,hacia,1.5670863739732075
construccion_amenaza,8,leyes,1.5596295171797765
construccion_amenaza,9,quiero,1.5461767692801067
construccion_amenaza,10,fuerza,1.5346136546996383
construccion_amenaza,11,pinochetismo,1.519097875507001
construccion_amenaza,12,país,1.5083182907895034
construccion_amenaza,13,da miedo,1.481888647277471
construccion_amenaza,14,mathei,1.4723278067735273
construccion_amenaza,15,vienen,1.449791506489655
deslegitimacion,1,encuestas,1.6265599778739228
deslegitimacion,2,qué,1.5002255629577848
deslegitimacion,3,argumento,1.3203706788153047
deslegitimacion,4,cargo,1.2146461464787186
deslegitimacion,5,debates,1.2071399693563325
deslegitimacion,6,argumentos,1.1813142444468618
deslegitimacion,7,elección,1.1140083576409203
deslegitimacion,8,hizo,1.1093408781179057
deslegitimacion,9,candidata,1.105274098724829
deslegitimacion,10,hubiera,1.0935270491740097
deslegitimacion,11,partido,1.0702029736219176
deslegitimacion,12,tienes,1.063598922239118
deslegitimacion,13,periodistas,1.0589646107895179
deslegitimacion,14,frei,1.0444014979194818
deslegitimacion,15,responder,1.0314162345992726
esencializacion,1,votantes,3.8288366696269076
esencializacion,2,nazi,2.461805752632616
esencializacion,3,zurdos,2.3645860332348687
esencializacion,4,gente,2.2044478981329165
esencializacion,5,votante,2.1832965071746098
esencializacion,6,votan,2.178763579243785
esencializacion,7,izquierda,2.140291071959615
esencializacion,8,pinochetista,2.115258482965594
esencializacion,9,pinochetistas,2.051284259605658
esencializacion,10,facho,2.024111015558851
esencializacion,11,votas,1.9711385552154608
esencializacion,12,fachos,1.931853399566963
esencializacion,13,voto,1.904774650314366
esencializacion,14,derecha,1.8782349581455269
esencializacion,15,pc,1.802770190525355
ridiculizacion,1,jajaja,2.099077132012267
ridiculizacion,2,wea,1.6716734184554003
ridiculizacion,3,xddd,1.44456560491242
ridiculizacion,4,meme,1.4362055753236882
ridiculizacion,5,jajajaj,1.4304444297654781
ridiculizacion,6,chiste,1.2557239262159743
ridiculizacion,7,ql,1.2177904677464026
ridiculizacion,8,jajajaja,1.1403865372069102
ridiculizacion,9,risa,1.1292052346379922
ridiculizacion,10,josé,1.0916919989329452
ridiculizacion,11,iba,1.088599877540584
ridiculizacion,12,ay,1.0739289376854995
ridiculizacion,13,roteo,1.0585999278571925
ridiculizacion,14,bandera,1.0452665546473963
ridiculizacion,15,casa,1.0441272829328054
