term,score,pol_grupo
más,0.025536137482256537,alta
wea,0.02166819354251375,alta
gente,0.019889974386396503,alta
está,0.015341000493370477,alta
votar,0.015129162679414013,alta
chile,0.014881897780694854,alta
derecha,0.013018809356227186,alta
tan,0.012856460770092682,alta
hacer,0.01241452179632754,alta
izquierda,0.012278982881009589,alta
hace,0.01215181694889366,alta
mismo,0.011683825853535461,alta
yo,0.011565490657846315,alta
ctm,0.01152845677902314,alta
menos,0.01150510395059832,alta
pa,0.011010644843976377,alta
igual,0.01100700095759895,alta
años,0.010913248535331448,alta
mierda,0.010536519136660384,alta
nazi,0.010436020974212484,alta
más,0.021125438773920622,media
derecha,0.014264574515870623,media
gente,0.012935216940870372,media
izquierda,0.012541208721033223,media
yo,0.011955929970571011,media
gobierno,0.011671390476695553,media
chile,0.0108797479491391,media
está,0.010739808261477588,media
votar,0.010557675058429096,media
boric,0.010415123730599081,media
menos,0.010225481815155766,media
mismo,0.01018755128249883,media
hacer,0.008915380576954584,media
igual,0.008771252841162829,media
años,0.00865062572036865,media
comunista,0.00845967037663457,media
así,0.008318688261005507,media
mejor,0.008270538302248632,media
qué,0.00815466536492977,media
creo,0.00805975462811696,media
más,0.020660504870001158,baja
yo,0.015681123957589464,baja
creo,0.014331529872637968,baja
derecha,0.013933006819499097,baja
gente,0.013867173943414982,baja
parisi,0.013612115023784961,baja
boric,0.013347043673049582,baja
igual,0.011520044198678822,baja
vuelta,0.011318152621529234,baja
mismo,0.011288369135745652,baja
está,0.010996776180632056,baja
izquierda,0.010985507438072082,baja
chile,0.010871641341742568,baja
gobierno,0.010526761446270924,baja
https,0.009703775580786734,baja
qué,0.009644764436865546,baja
así,0.009576427939945033,baja
votar,0.009229054506608698,baja
hacer,0.00922676707747514,baja
también,0.00886801087845184,baja
